"","name","genre","year","numOfSegments","numOfActs","numOfSpeakers","yearWritten","yearPremiered","yearPrinted","size","averageClustering","density","averagePathLength","averageDegree","diameter","maxDegree","nodes","numConnectedComponents","maxDegreeIds","wikipediaLinkCount"
"1","andreyev-mysl","tragedy",1914,6,3,15,1913,1914,1914,15,0.810899470899471,0.371428571428571,1.91428571428571,5.2,3,9,"660.50.33595084554444440660.50.33595084554444440110.43750.034924908067339680660.50.33595084554444440660.50.33595084554444440660.50.33595084554444440980.70.394108670291514640.2197802197802198220.451612903225806440.041457657490808930740.48275862068965520.0983024574997462801060.63636363636363640.205598093120382460.11538461538461539980.70.394108670291514640.2197802197802198220.451612903225806440.041457657490808930440.48275862068965520.098302457499746280740.48275862068965520.0983024574997462801390.73684210526315790.22163921045925990.5",1,"kerzhentsev",0
"2","andreyev-ne-ubiy","",1913,6,5,23,1913,1913,1913,23,0.912104002546862,0.588932806324111,1.41501976284585,12.9565217391304,3,21,"31210.95652173913043480.265000909919395730.120310245310245315150.75862068965517240.24027125648434997025190.880.258243728826034750.0606060606060606330.52380952380952380.037016986893804050950.56410256410256410.056496951115563850.00342712842712842715150.75862068965517240.2402712564843499701070.59459459459459460.081757961693770130.00378787878787878815150.75862068965517240.24027125648434997015150.75862068965517240.24027125648434997015150.75862068965517240.240271256484349970440.53658536585365860.05609847956435399015150.75862068965517240.24027125648434997030210.95652173913043480.26383648922995240.1356421356421356215150.75862068965517240.24027125648434997025190.880.258243728826034750.060606060606060615150.75862068965517240.24027125648434997015150.75862068965517240.24027125648434997015150.75862068965517240.240271256484349970440.550.054238145217748510660.57894736842105270.078334735106511440660.57894736842105270.07833473510651144015150.75862068965517240.24027125648434997022180.84615384615384610.249287243475526280.07016594516594518",1,"yakov|vasilisa_petrovna",0
"3","babel-marija","",1935,8,0,22,1934,1964,1935,22,0.87627145581691,0.32034632034632,1.90909090909091,6.72727272727273,3,14,"18120.70.308639405309496350.16190476190476188550.53846153846153840.171707203308598180770.50.21945107110994080770.50.2194510711099408017140.750.404627008383651450.4761904761904762950.47727272727272730.146734009528787901070.60.230928618843305760.009523809523809525220.428571428571428550.040771318780345574015120.70.279028524915771740.28571428571428575440.46666666666666670.1109771725043090220.428571428571428550.0407713187803455740770.50.21945107110994080770.50.21945107110994080770.50.21945107110994080950.47727272727272730.14673400952878790550.53846153846153840.171707203308598180770.50.21945107110994080970.60.230928618843305760.009523809523809525440.46666666666666670.11097717250430901370.50.171831360423800260.0095238095238095251380.61764705882352940.244710792996318760.04761904761904762770.50.21945107110994080",1,"katya",2
"4","babel-zakat","",1927,8,0,37,NA,1927,1928,37,0.898521091071526,0.391891891891892,1.67417417417417,14.1081081081081,3,32,"11110.55384615384615390.07170394200987580660.46753246753246750.04896012850364025017100.58064516129032260.128639100643371060.000396825396825396811110.55384615384615390.0717039420098758024180.66666666666666660.219157789569614430.00362181909800957411110.55384615384615390.0717039420098758045250.76595744680851060.248279637465612240.08544343663391285330.49315068493150680.02562024018311005023170.65454545454545450.213470047096134320.0014109347442680781880.56250.09784228178689905011110.55384615384615390.0717039420098758039210.70588235294117650.23773704022503120.01343285462333081523170.65454545454545450.213470047096134320.001410934744268078116160.64285714285714290.20654505278131716016160.64285714285714290.20654505278131716011110.55384615384615390.07170394200987580660.46753246753246750.04896012850364025039210.70588235294117650.23773704022503120.01343285462333081516160.64285714285714290.206545052781317160660.46753246753246750.04896012850364025016160.64285714285714290.20654505278131716016160.64285714285714290.20654505278131716024190.67924528301886790.225124303436733980.00801209372637944222200.69230769230769230.217087650021898230.04645502645502646447250.76595744680851060.248279637465612240.0854434366339128511110.55384615384615390.0717039420098758055320.90.27523642330945730.2313693625598387311110.55384615384615390.0717039420098758011110.55384615384615390.0717039420098758016160.64285714285714290.20654505278131716035280.81818181818181820.261943728677733130.1373708742756361811110.55384615384615390.07170394200987580330.49315068493150680.025620240183110050880.56250.09784228178689904022200.69230769230769230.14944287356308780.08489795918367343660.46753246753246750.048960128503640250880.56250.105655774609161620",1,"mendel",3
"5","blok-balaganchik","",1906,3,0,16,1906,1906,1906,16,0.942857142857143,0.6,1.4,9,2,15,"770.65217391304347830.155285729223337080870.65217391304347830.155285729223337080770.65217391304347830.155285729223337080161510.36039636357262250.2285714285714286990.71428571428571430.27284312709978580990.71428571428571430.27284312709978580770.65217391304347830.155285729223337080770.65217391304347830.155285729223337080990.71428571428571430.27284312709978580990.71428571428571430.27284312709978580171510.36039636357262250.2285714285714286990.71428571428571430.27284312709978580770.65217391304347830.155285729223337080990.71428571428571430.27284312709978580990.71428571428571430.27284312709978580990.71428571428571430.27284312709978580",1,"pero|arlekin",0
"6","blok-korol-na-ploschadi","",1907,23,3,29,1906,NA,1907,29,0.659220281634075,0.155172413793103,1.79310344827586,4.3448275862069,4,12,"3212.5989446755827592E-110110.347826086956521730.017747215177455920770.55172413793103450.29625014951259702212.5989446755827592E-110770.55172413793103450.29625014951259702212.5989446755827592E-1102111.9828374294912408E-160770.55172413793103450.2962501495125970440.44444444444444440.05506557932009424017100.69565217391304350.35966260913106420.0260141093474426762212.5989446755827592E-1101111.9828374294912408E-1601111.9828374294912408E-160770.55172413793103450.29625014951259703212.5989446755827592E-110540.55172413793103450.14839286851546202090.66666666666666660.21930629418157170.082010582010582440.51612903225806450.138116995782480820.039682539682539682212.5989446755827592E-11018100.72727272727272730.358492415422830060.038139329805996464650.57142857142857140.099093532791838480.01917989417989418440.44444444444444440.0550655793200942401111.9828374294912408E-160650.57142857142857140.189212052819629020.000661375661375661319120.80.386672522574548260.089726631393298051111.9828374294912408E-1602111.9828374294912408E-160440.44444444444444440.055065579320094240880.59259259259259260.3119766114676540.008818342151675485",6,"golosa_v_tolpe",0
"7","blok-neznakomka","",1907,3,0,34,1906,1913,1907,34,0.954099912138929,0.479500891265597,1.5204991087344,15.8235294117647,2,33,"17170.6734693877551020.20949794499656943014140.63461538461538460.10102160090420034017170.6734693877551020.20949794499656943014140.63461538461538460.10102160090420034014140.63461538461538460.10102160090420034019170.6734693877551020.106106061921666910.02272727272727272814140.63461538461538460.10102160090420034017170.6734693877551020.20949794499656943014140.63461538461538460.10102160090420034017170.6734693877551020.209497944996569430550.54098360655737710.0316927028371940550.54098360655737710.031692702837194017170.6734693877551020.209497944996569430363310.28535628025640620.310606060606060617170.6734693877551020.20949794499656943017170.6734693877551020.20949794499656943014140.63461538461538460.10102160090420034019170.6734693877551020.106106061921666910.02272727272727272814140.63461538461538460.10102160090420034017170.6734693877551020.20949794499656943017170.6734693877551020.20949794499656943014140.63461538461538460.10102160090420034014140.63461538461538460.10102160090420034017170.6734693877551020.20949794499656943017170.6734693877551020.20949794499656943017170.6734693877551020.20949794499656943017170.6734693877551020.20949794499656943017170.6734693877551020.20949794499656943017170.6734693877551020.20949794499656943017170.6734693877551020.20949794499656943031300.91666666666666660.28027181923893970.19696969696969696550.54098360655737710.031692702837194005014140.63461538461538460.10102160090420034014140.63461538461538460.101021600904200340",1,"poet",0
"8","bulgakov-beg","",1928,8,4,40,1928,1957,NA,40,0.916379959944388,0.398717948717949,1.61282051282051,15.55,3,38,"990.55714285714285720.0214082127765029720990.55714285714285720.0214082127765029720990.55714285714285720.021408212776502972055300.81250.248728491019312960.0609086819613135125190.66101694915254240.197766371578911440.00404858299595141913130.60.12240146192247078057380.9750.25428922465110680.414035087719298129200.67241379310344830.200039143541226680.00978407557354925513130.60.122401461922470780990.55714285714285720.0214082127765029720550.53424657534246580.050039474947546870990.55714285714285720.0214082127765029720550.53424657534246580.050039474947546870990.55714285714285720.021408212776502972018180.650.19409812991620940550.53424657534246580.059695930393393850990.55714285714285720.0214082127765029720990.55714285714285720.021408212776502972013130.60.12240146192247078038260.750.238803300322424970.02339181286549709990.55714285714285720.021408212776502972040270.76470588235294110.240266965546343720.03099415204678361613130.60.12240146192247078023200.67241379310344830.19889141372647660.01012145748987854318180.650.1940981299162094013130.60.12240146192247078044280.780.242787477394295630.039653621232568596770.48750.07658965994208762018180.650.1940981299162094025190.66101694915254240.197766371578911420.00404858299595141918180.650.1940981299162094018180.650.1940981299162094033200.67241379310344830.200625506503216920.008502024291497972440.5270270270270270.04745321102762678013130.60.12240146192247078038260.750.238803300322424970.0233918128654970931250.73584905660377350.235135058659722920.01619433198380566518180.650.1940981299162094013130.60.12240146192247078018180.650.19409812991620940",1,"charnota",4
"9","bulgakov-dni-turbinyh","",1926,7,4,29,1926,1926,1955,29,0.905749606667724,0.411330049261084,1.89655172413793,11.5172413793103,4,19,"14140.59574468085106380.2391199156225627021190.66666666666666660.26263679025050630.0925925925925925936180.73684210526315790.262262361816368360.09523809523809523770.44444444444444440.07375926523066684014140.59574468085106380.2391199156225627036180.73684210526315790.262262361816368360.0952380952380952314140.59574468085106380.23911991562256270550.38888888888888890.008688928914807830550.38888888888888890.008688928914807830770.44444444444444440.07375926523066685025180.73684210526315790.262262361816368360.0952380952380952331180.73684210526315790.26226236181636840.09523809523809523550.38888888888888890.00868892891480783014140.59574468085106380.23911991562256270770.44444444444444440.07375926523066684014140.59574468085106380.2391199156225627021190.66666666666666660.26263679025050630.0925925925925925914140.59574468085106380.239119915622562702270.51851851851851850.0900369918605134902270.51851851851851850.090036991860513490550.38888888888888890.00868892891480783022120.57142857142857140.09280774733211140.304232804232804214140.59574468085106380.23911991562256270770.44444444444444440.0737592652306668501170.51851851851851850.090036991860513490770.44444444444444440.073759265230666850550.38888888888888890.00868892891480783021190.66666666666666660.26263679025050630.0925925925925925914140.59574468085106380.23911991562256270",1,"Uragan|Kirpatyj|Galanba",3
"10","bulgakov-ivan-vasilevich","comedy",1936,3,3,16,1936,1967,1965,16,0.940018315018315,0.866666666666667,1.13333333333333,13,2,15,"261510.27152881432223790.026190476190476198261510.27152881432223790.02619047619047619813130.88235294117647060.25356308568619380261510.27152881432223790.02619047619047619821140.93750.26457784746957520.0071428571428571435261510.27152881432223790.02619047619047619813130.88235294117647060.2535630856861938013130.88235294117647060.2535630856861938021140.93750.26457784746957520.007142857142857143521140.93750.26457784746957520.007142857142857143513130.88235294117647060.25356308568619380880.68181818181818180.15954337902350146013130.88235294117647060.25356308568619380550.60.100681093172629880261510.27152881432223790.02619047619047619813130.88235294117647060.25356308568619380",1,"several characters",6
