"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","kraft","0.00428306369106453","0.0340004084133143","0.00245935754013798","0.0252960172228202","0","0.0216293637645872"
"3","kerzhentsev","0.146390145516139","0.102920155197059","0.156933574152117","0.120559741657696","0.360869630328489","0.1287478671885"
"5","savyolov","0.0775161945913954","0.0817847661833776","0.0835321964801021","0.0795075349838536","0.155466825407522","0.0814910176252862"
"7","tatyana_nikolaevna","0.119277679884902","0.0987849703900347","0.131454284804686","0.105086114101184","0.149388623072834","0.110613386165188"
"9","sasha","0.0775161945913954","0.0817847661833776","0.0835321964801021","0.0795075349838536","0.155466825407522","0.0814910176252862"
"11","fyodorovich","0.0358430171643002","0.0445681029201552","0.0120748928731029","0.0333961248654467","0.0861917918997237","0.0460955281183714"
"13","darya_vasilyevna","0.0163866201945586","0.0374463957525015","0.013589526920506","0.0326964477933262","0.0303030303030303","0.0281952965488901"
"15","vasiliy","0.0163866201945586","0.0374463957525015","0.013589526920506","0.0326964477933262","0.0303030303030303","0.0281952965488901"
"17","masha","0.0950633718213232","0.0899019808045742","0.0966783437712362","0.0940527448869752","0.0160051216389245","0.0918535782100364"
"19","ivan_petrovich","0.0950633718213232","0.0899019808045742","0.0966783437712362","0.0940527448869752","0.0160051216389245","0.0918535782100364"
"21","pryamoy","0.0632547441058079","0.0602920155197059","0.0618955512572534","0.0606297093649085","0","0.0579668139989856"
"23","vasilyeva","0.0632547441058079","0.0602920155197059","0.0618955512572534","0.0606297093649085","0","0.0579668139989856"
"25","sidelka","0.0632547441058079","0.0602920155197059","0.0618955512572534","0.0606297093649085","0","0.0579668139989856"
"27","semyonov","0.0632547441058079","0.0602920155197059","0.0618955512572534","0.0606297093649085","0","0.0579668139989856"
"29","tretiy_vrach","0.0632547441058079","0.0602920155197059","0.0618955512572534","0.0606297093649085","0","0.0579668139989856"
