"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","yakov","0.179290539219959","0.0786157751371352","0.214509942299212","0.112878190698317","0.193745167110576","0.184097544221192"
"3","vasilisa_petrovna","0.223162735497793","0.082547177855895","0.202241684410258","0.117997935848781","0.237812526849386","0.194401511248497"
"5","kulabukhov","0.00897347947252868","0.018651139342747","0.00789265982636148","0.0259644218344941","0.015929203539823","0.0257599175682638"
"7","margarita","0.0738001086638659","0.0603258500473092","0.101289134438306","0.0903269322974653","0.152507374631268","0.088442383651039"
"9","feofan","0.0654901855172526","0.0398706859796342","0.0476190476190476","0.0727735203530186","0.0666666666666667","0.0420745320281642"
"11","zaychikov","0.120274740379675","0.0682633541830248","0.129103036685975","0.102919067393725","0.123948220064725","0.11883908638159"
"13","baron","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"15","student","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"17","pomeschik","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"19","kommertsii_sovetnik","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"21","general","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"23","darya_stepanovna","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"25","molodoy_chelovek","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"27","lakey","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"29","pervaya_dama","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"31","vtoraya_dama","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"33","shafer","0.0103331960602805","0.0424390932737745","0","0.0172771082379137","0","0"
"35","knyaz","0.120274740379675","0.0682633541830248","0.129103036685975","0.102919067393725","0.123948220064725","0.11883908638159"
"37","nyusha","0.00606710898960697","0.0168102769036401","0.00631412786108919","0.0264520166107287","0.0132743362831858","0.0266185814872059"
"39","ekonomka","0.016196589618849","0.022701923542642","0.0396073121191605","0.0378779875338269","0.0129449838187702","0.0508329040013739"
"41","gornichnaya","0.0493016138753311","0.0357059777377414","0.0714285714285714","0.0618026378877394","0.0333333333333333","0.0673192512450627"
"43","lelya","0.016196589618849","0.022701923542642","0.0396073121191605","0.0378779875338269","0.0129449838187702","0.0508329040013739"
"45","gost","0.00730641210352832","0.0187125355330451","0.0112841345068833","0.020162043997302","0.0129449838187702","0.0319422977846471"
