"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","evstigneich","0.0490520153553501","0.0560940634323742","0.0605661605677977","0.0513925958149751","0.0370212765957447","0.0480847518047827"
"3","bishonkov","0.0490520153553501","0.0560940634323742","0.0605661605677977","0.0513925958149751","0.0370212765957447","0.0480847518047827"
"5","dymshits","0.0730230119588152","0.0695942835005649","0.0701569908660198","0.0689962010146463","0.0879039393301032","0.0611777701819526"
"7","viskovskiy","0.0843666015477482","0.0694320212401299","0.0879963724451642","0.0702688968964521","0.114042553191489","0.0594320343983299"
"9","filipp","0.109716377195763","0.0828592232911249","0.107846009492146","0.0859356938446991","0.169884137349905","0.105257598718425"
"11","lyudmila","0.0864162126992633","0.0679878871222585","0.103042582423104","0.0743556931508163","0.157691173372656","0.0836156095185143"
"13","katya","0.0955510845337118","0.0771191958282373","0.110966256527665","0.0809754350455749","0.109306930693069","0.114751320671125"
"15","mukovnin","0.075030256688949","0.0630023791703936","0.0326724259246678","0.0604680535599081","0.04","0.0388118140835401"
"17","golitsyn","0.0463357523369005","0.0558628397112543","0.0275913150082331","0.0535920491794198","0.0994059405940594","0.0403521691867365"
"19","kravchenko","0.013953851358238","0.0290408880613514","0.00913706249672036","0.0266425793911074","0.02","0.0187024782113103"
"21","dora","0.013953851358238","0.0290408880613514","0.00913706249672036","0.0266425793911074","0.02","0.0187024782113103"
"23","nefyodovna","0.0186683922889565","0.0350932703755763","0.0154239584867186","0.0326203315583399","0.0338613861386139","0.0230110714856798"
"25","krasnoarmeets","0.0186683922889565","0.0350932703755763","0.0154239584867186","0.0326203315583399","0.0338613861386139","0.0230110714856798"
"27","nadziratel","0.00757836645363391","0.0197310908688941","0.00657894736842105","0.0174370984102197","0.02","0"
"29","kalmykova","0.00757836645363391","0.0197310908688941","0.00657894736842105","0.0174370984102197","0.02","0"
"31","agasha","0.0358650645894988","0.0334605063799493","0.0394736842105263","0.0356032524227427","0","0.0452864400339758"
"33","tikhon","0.0358650645894988","0.0334605063799493","0.0394736842105263","0.0356032524227427","0","0.0452864400339758"
"35","andrei","0.0358650645894988","0.0334605063799493","0.0394736842105263","0.0356032524227427","0","0.0452864400339758"
"37","sushkin","0.0358650645894988","0.0334605063799493","0.0394736842105263","0.0356032524227427","0","0.0452864400339758"
"39","kuzma","0.0358650645894988","0.0334605063799493","0.0394736842105263","0.0356032524227427","0","0.0452864400339758"
"41","elena","0.0358650645894988","0.0334605063799493","0.0394736842105263","0.0356032524227427","0","0.0452864400339758"
"43","nyusha","0.0358650645894988","0.0334605063799493","0.0394736842105263","0.0356032524227427","0","0.0452864400339758"
