"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","arie_leib","0.135861226960286","0.0620678055960407","0.127145054233447","0.0901717132773807","0","0.139006903876792"
"3","lyovka","0.118304139113522","0.0557660223428345","0.0708070260644326","0.0585426614075151","0","0.081651619755709"
"5","dvoyra","0.0156156747899595","0.0339965039802352","0.0072243807673628","0.0291156321361843","0","0.018255443441317"
"7","nekhama","0.0138350643180738","0.0297668929828338","0.0140845070422535","0.0227542335181945","0","0"
"9","benya","0.13843029990557","0.0655495302454759","0.158450704225352","0.0939529642041579","0","0.155934678704195"
"11","boyarskiy","0.0156156747899595","0.0339965039802352","0.0072243807673628","0.0291156321361843","0","0.018255443441317"
"13","mendel","0.143551281174126","0.072404537779513","0.130281690140845","0.116974109552478","0.333333333333333","0.122477429633563"
"15","nikifor","0.118304139113522","0.0557660223428345","0.0708070260644326","0.058542661407515","0","0.081651619755709"
"17","kantor","0.00642974596492818","0.0119326077462648","0.0422535211267606","0.0120110323556452","0","0.0430164630908125"
"19","pervyy_evrey","0.00642974596492818","0.0119326077462648","0.0422535211267606","0.0120110323556452","0","0.0430164630908125"
"21","vtoroy_evrey","0.00642974596492818","0.0119326077462648","0.0422535211267606","0.0120110323556452","0","0.0430164630908125"
"23","senka","0.0112346333439951","0.0314522278785012","0.0563380281690141","0.0160147098075269","0","0.0573552841210834"
"25","tolstyak","0.00642974596492818","0.0119326077462648","0.0422535211267606","0.0120110323556452","0","0.0430164630908125"
"27","malchik","0.00161431359260383","0.0142937193198721","0.00412821758135017","0.00586464604525638","0","0"
"29","bobrinets","0.0132751956817551","0.0356747999741156","0.0213088878096163","0.0257347489545953","0","0.0328597981943707"
"31","pyatirubel","0.0405465104947499","0.0464200710735391","0.0223409422049539","0.066772442836383","0","0.0328597981943707"
"33","semyon","0.00263454305460073","0.0151074215048667","0.0140845070422535","0","0","0"
"35","madam_popyatnik","0.0132605841904793","0.0350698615676892","0.028169014084507","0.0271137934102435","0","0.0318640467339352"
"37","mayor","0.00263454305460073","0.0151074215048667","0.0140845070422535","0","0","0"
"39","potapovna","0.0274138272357367","0.0315152268702133","0.0563380281690141","0.0470432100596103","0.333333333333333","0.0557620817843866"
"41","klasha","0.00180335366216059","0.0241375150426641","0","0","0","0"
"43","paren_s_tolstymi_nogami","0.00180335366216059","0.0241375150426641","0","0","0","0"
"45","prasol","0.00180335366216059","0.0241375150426641","0","0","0","0"
"47","madam_vayner","0.00180335366216059","0.0241375150426641","0","0","0","0"
"49","zharia","0.00180335366216059","0.0241375150426641","0","0","0","0"
"51","vayner","0.00180335366216059","0.0241375150426641","0","0","0","0"
"53","mitya","0.016359918200409","0.0172956479100419","0","0.0293603013137993","0","0"
"55","ryabtsov","0.016359918200409","0.0172956479100419","0","0.0293603013137993","0","0"
"57","urusov","0.016359918200409","0.0172956479100419","0","0.0293603013137993","0","0"
"59","golos_iz_traktira","0.016359918200409","0.0172956479100419","0","0.0293603013137993","0","0"
"61","slepoi_zapevala","0.016359918200409","0.0172956479100419","0","0.0293603013137993","0","0"
"63","sleptsy","0.016359918200409","0.0172956479100419","0","0.0293603013137993","0","0"
"65","golosa_iz_traktira","0.016359918200409","0.0172956479100419","0","0.0293603013137993","0","0"
"67","matros","0.016359918200409","0.0172956479100419","0","0.0293603013137993","0","0"
"69","fomin","0.016359918200409","0.0172956479100419","0","0.0293603013137993","0","0"
"71","golos_sosedki","0.00204498977505112","0.00891453931245632","0.0140845070422535","0","0.166666666666667","0"
"73","marusya","0.00204498977505112","0.00891453931245632","0.0140845070422535","0","0.166666666666667","0"
