"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","pervyj_mistik","0.0418781393652116","0.0479546356147761","0.113442994895065","0.0435097897026831","0","0.116201117318436"
"3","vtoroj_mistik","0.0418781393652116","0.0479546356147761","0.113442994895065","0.0435097897026831","0","0.116201117318436"
"5","tretij_mistik","0.0418781393652116","0.0479546356147761","0.113442994895065","0.0435097897026831","0","0.116201117318436"
"7","pero","0.142726298855045","0.0995496231302359","0.177538287010777","0.131254532269761","0","0.162011173184358"
"9","avtor","0.0698312315516042","0.0599257928266399","0.116279069767442","0.0423011844331641","0","0.11731843575419"
"11","predsedatel","0.0418781393652116","0.0479546356147761","0.113442994895065","0.0435097897026831","0","0.116201117318436"
"13","kolombina","0.0418781393652116","0.0479546356147761","0.113442994895065","0.0435097897026831","0","0.116201117318436"
"15","arlekin","0.133920548950705","0.0924089328635101","0.138967668746455","0.121585690113609","0","0.139664804469274"
"17","ona_1","0.0555164029770735","0.0635428091382167","0","0.0609137055837564","0","0"
"19","on_1","0.0555164029770735","0.0635428091382167","0","0.0609137055837564","0","0"
"21","on_2","0.0555164029770735","0.0635428091382167","0","0.0609137055837564","0","0"
"23","ona_2","0.0555164029770735","0.0635428091382167","0","0.0609137055837564","0","0"
"25","on_3","0.0555164029770735","0.0635428091382167","0","0.0609137055837564","0","0"
"27","ona_3","0.0555164029770735","0.0635428091382167","0","0.0609137055837564","0","0"
"29","pajats","0.0555164029770735","0.0635428091382167","0","0.0609137055837564","0","0"
"31","hor","0.0555164029770735","0.0635428091382167","0","0.0609137055837564","0","0"
