"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","shut","0.133277532272233","0.112648653906953","0.140428217238531","0.111410953300937","0.0391604010025063","0.104515792706669"
"3","golosa_v_tolpe","0.130872746772778","0.0989323670322722","0.134732833961262","0.107891737818447","0.0762932274722624","0.127352798472842"
"5","doch_zodchego","0.11227823576995","0.105790510469613","0.136390279877911","0.103353802064709","0.0391160684730695","0.100568465215428"
"7","poet","0.14369355368688","0.114691505143608","0.173451006335139","0.121412934145909","0.153463888374598","0.118674398756592"
"9","zolotoj","0.0249351934045203","0.0478610861159075","0.0197703959245146","0.0409340327173849","0.0179694519317161","0.0399595398932148"
"11","vtoroj_iz_tolpy","0.0140831319392268","0.0335124881441669","0.0107579965315482","0.0306284938117889","0.0178571428571429","0.0267328463770935"
"13","chelovek_s_fakelom","0.0368533571308827","0.0425107614484788","0.0297599209268468","0.042860854644567","0","0.0442533311832793"
"15","chelovek_v_chernom","0.0368533571308827","0.0425107614484788","0.0297599209268468","0.042860854644567","0","0.0442533311832793"
"17","obydennyj_golos","0.0368533571308827","0.0425107614484788","0.0297599209268468","0.042860854644567","0","0.0442533311832793"
"19","nischaja","0.0441221766474903","0.044845448576084","0.036399798006233","0.0473756376648668","0.0208333333333333","0.0510730545199581"
"21","golos_nischego","0.0368533571308827","0.0425107614484788","0.0297599209268468","0.0428608546445669","0","0.0442533311832793"
"23","pervyj_neizvestnyj","0.0120481927710843","0.00700406138281573","0.0120481927710843","0.0111133120499687","0.0357142857142857","0.00937061221833727"
"25","vtoroj_neizvestnyj","0.0120481927710843","0.00700406138281573","0.0120481927710843","0.0111133120499687","0.0357142857142857","0.00937061221833727"
"27","golos_tretego","0.0120481927710843","0.00700406138281573","0.0120481927710843","0.0111133120499687","0.0357142857142857","0.00937061221833727"
"29","pervyj_rabochij_1","0.00602409638554217","0","0.00602409638554217","0","0.0178571428571429","0"
"31","vtoroj_rabochij_1","0.00602409638554217","0","0.00602409638554217","0","0.0178571428571429","0"
"33","devushka","0.0180722891566265","0.00875507672851966","0.0240963855421687","0.0138916400624609","0.05","0.0140559183275059"
"35","junosha","0.0180722891566265","0.00875507672851966","0.0240963855421687","0.0138916400624609","0.05","0.0140559183275059"
"37","prodavschitsa_roz","0.0120481927710843","0.0105060920742236","0","0","0.0428571428571429","0.00937061221833727"
"39","pervyj_frant","0.0120481927710843","0","0.0120481927710843","0","0.0357142857142857","0"
"41","vtoroj_frant","0.0120481927710843","0","0.0120481927710843","0","0.0357142857142857","0"
"43","pervyj_rabochij_2","0.00602409638554217","0","0.00602409638554217","0","0.0178571428571429","0"
"45","vtoroj_rabochij_2","0.00602409638554217","0","0.00602409638554217","0","0.0178571428571429","0"
"47","zodchij","0.0308843030536694","0.0534059680439699","0.0238899523326953","0.0489757487979872","0.0535714285714286","0.044797590414001"
"49","rabochij_3","0.0205891207388874","0.0337070454048007","0.0179458797985099","0.0317655502761607","0.0538740920096852","0.0311446999441153"
"51","drugoj_rabochij_3","0.0205891207388874","0.0337070454048007","0.0179458797985099","0.0317655502761607","0.0538740920096852","0.0311446999441153"
"53","tretij_rabochij_3","0.0205891207388874","0.0337070454048007","0.0179458797985099","0.0317655502761607","0.0538740920096852","0.0311446999441153"
"55","chernyj","0.0201261509741039","0.0487365937887595","0.0147560119502922","0.0406716350717606","0.0183270676691729","0.0366875486488448"
"57","pervyj_iz_tolpy","0.00401606425702811","0.0193827670906394","0.00401606425702811","0.0194817389246327","0.00892857142857143","0.0135962549015331"
