"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","odin","0","0.0305733400474786","0","0","0","0"
"3","drugoj","0","0.0305733400474786","0","0","0","0"
"5","tretij_usatyj","0","0.0305733400474786","0","0","0","0"
"7","hozjain","0","0.0305733400474786","0","0","0","0"
"9","seminarist","0","0.0305733400474786","0","0","0","0"
"11","pervyj_sobutylnik","0","0.0305733400474786","0","0","0","0"
"13","vtoroj_sobutylnik","0","0.0305733400474786","0","0","0","0"
"15","verlen","0","0.0305733400474786","0","0","0","0"
"17","devushka","0","0.0305733400474786","0","0","0","0"
"19","muzhchina","0","0.0305733400474786","0","0","0","0"
"21","molodoj_chelovek","0.0235248461552677","0.0602234851209745","0","0","0","0"
"23","gauptman","0","0.0305733400474786","0","0","0","0"
"25","poet","0.277807550865781","0.0692755916840515","0.2","0.2","0.2","0.2"
"27","polovoj","0","0.0305733400474786","0","0","0","0"
"29","chelovek_v_palto","0","0.0305733400474786","0","0","0","0"
"31","pervyj","0","0.0305733400474786","0","0","0","0"
"33","vtoroj","0","0.0305733400474786","0","0","0","0"
"35","sobesednik","0","0.0305733400474786","0","0","0","0"
"37","hozjain_trete_videnie","0.0186092066601371","0.0255976788240654","0","0","0","0"
"39","gost","0.0186092066601371","0.0255976788240654","0","0","0","0"
"41","hozjajka","0.0186092066601371","0.0255976788240654","0","0","0","0"
"43","zhorzh","0.0186092066601371","0.0255976788240654","0","0","0","0"
"45","misha","0.0186092066601371","0.0255976788240654","0","0","0","0"
"47","starik","0.0186092066601371","0.0255976788240654","0","0","0","0"
"49","dama","0.0186092066601371","0.0255976788240654","0","0","0","0"
"51","ryzhij_gospodin","0.0186092066601371","0.0255976788240654","0","0","0","0"
"53","drugoj_trete_videnie","0.0186092066601371","0.0255976788240654","0","0","0","0"
"55","neznakomka","0.167205662225343","0.0321080018224109","0.2","0.2","0.2","0.2"
"57","raznye_golosa","0.0186092066601371","0.0255976788240654","0","0","0","0"
"59","kto-to","0.0186092066601371","0.0255976788240654","0","0","0","0"
"61","zvezdochet","0.167205662225343","0.0321080018224109","0.2","0.2","0.2","0.2"
"63","razjarennye_dvorniki","0.0531850017555856","0.0118456705752584","0.133333333333333","0.133333333333333","0.133333333333333","0.133333333333333"
"65","goluboj","0.0531850017555856","0.0118456705752584","0.133333333333333","0.133333333333333","0.133333333333333","0.133333333333333"
"67","gospodin","0.0531850017555856","0.0118456705752584","0.133333333333333","0.133333333333333","0.133333333333333","0.133333333333333"
