"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","golubkov","0.163954916766265","0.0670968085292117","0.192307692307692","0.0484183344092963","0.210526315789474","0.251454427925016"
"3","serafima","0.110917650757704","0.0548132571725347","0.115384615384615","0.027667619662455","0.157894736842105","0.145442792501616"
"5","barabanchikova","0.011791865328284","0.0183612000847878","0","0","0","0"
"7","mahrov","0.011791865328284","0.0183612000847878","0","0","0","0"
"9","paisij","0.011791865328284","0.0183612000847878","0","0","0","0"
"11","baev","0.011791865328284","0.0183612000847878","0","0","0","0"
"13","budenovets","0.011791865328284","0.0183612000847878","0","0","0","0"
"15","ljuska","0.0751732021488804","0.0494387558547712","0.0769230769230769","0.020289587752467","0.105263157894737","0.100193923723335"
"17","charnota","0.146938485318346","0.0662743411556552","0.153846153846154","0.128377755233791","0.210526315789474","0.19715578539108"
"19","de_brizar","0.0497173699312256","0.0464428250932952","0.0384615384615385","0","0","0"
"21","afrikan","0.0497173699312256","0.0464428250932952","0.0384615384615385","0","0","0"
"23","igumen","0.011791865328284","0.0183612000847878","0","0","0","0"
"25","monahi","0.011791865328284","0.0183612000847878","0","0","0","0"
"27","krapilin","0.0194067657765079","0.0384749927188505","0","0","0","0"
"29","hludov","0.0730497558290434","0.0424994389607515","0.0769230769230769","0.0189062067693443","0.0526315789473684","0.102779573367809"
"31","golovan","0.0197270188432657","0.0316297609625084","0.0384615384615385","0","0","0"
"33","pervyj_shtabnoj","0.0012979755335844","0.0229999522156331","0","0","0","0"
"35","vtoroj_shtabnoj","0.0012979755335844","0.0229999522156331","0","0","0","0"
"37","tretij_shtabnoj","0.0012979755335844","0.0229999522156331","0","0","0","0"
"39","komendant","0.0012979755335844","0.0229999522156331","0","0","0","0"
"41","nachalnik_stantsii","0.0012979755335844","0.0229999522156331","0","0","0","0"
"43","nikolaevna","0.0012979755335844","0.0229999522156331","0","0","0","0"
"45","korzuhin","0.0303199056285518","0.036477206033971","0.0769230769230769","0.0207507147468413","0.0526315789473684","0.1060116354234"
"47","glavnokomandujuschij","0.0197270188432657","0.0316297609625084","0.0384615384615385","0","0","0"
"49","shtabnye","0.0012979755335844","0.0229999522156331","0","0","0","0"
"51","tihij","0.00736808581372342","0.0290240408822345","0.0769230769230769","0.01844507977497","0.105263157894737","0.096961861667744"
"53","gurin","0.0024853361980247","0.00988029858953287","0.0384615384615385","0","0.0526315789473684","0"
"55","skunskij","0.0024853361980247","0.00988029858953287","0.0384615384615385","0","0.0526315789473684","0"
"57","konvojnyj","0.000299404712982423","0.0119173825254073","0","0","0","0"
"59","grek-donzhuan","0.000818219280013726","0.00992005386350173","0","0","0","0"
"61","antuan","0.000159411876450482","0.00927452151153593","0","0","0","0"
"63","turchanka_ljubjaschaja_mat","0.0151228733459357","0.0132617072664395","0","0.0796827446278705","0","0"
"65","lichiko","0.0151228733459357","0.0132617072664395","0","0.0796827446278705","0","0"
"67","artur","0.0151228733459357","0.0132617072664395","0","0.0796827446278705","0","0"
"69","italjantsy-matrosy","0.0151228733459357","0.0132617072664395","0","0.0796827446278705","0","0"
"71","anglichane-matrosy","0.0151228733459357","0.0132617072664395","0","0.0796827446278705","0","0"
"73","figura","0.0151228733459357","0.0132617072664395","0","0.0796827446278705","0","0"
"75","prostitutka-krasavitsa","0.0151228733459357","0.0132617072664395","0","0.0796827446278705","0","0"
"77","italjanets-matros","0.0151228733459357","0.0132617072664395","0","0.0796827446278705","0","0"
"79","botsman-anglichanin","0.0151228733459357","0.0132617072664395","0","0.0796827446278705","0","0"
