"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","timofeev","0.115935742395389","0.0894498702585701","0.153846153846154","0.0957917387259351","0.2","0.2"
"3","zinaida","0.115935742395389","0.0894498702585701","0.153846153846154","0.0957917387259351","0.2","0.2"
"5","uljana","0.115935742395389","0.0894498702585701","0.153846153846154","0.0957917387259351","0.2","0.2"
"7","miloslavskij","0.0752597736114908","0.0737048675855055","0.0769230769230769","0.0731950936913181","0","0"
"9","bunsha","0.0752597736114908","0.0737048675855055","0.0769230769230769","0.0731950936913181","0","0"
"11","ioann","0.115935742395389","0.0894498702585701","0.153846153846154","0.0957917387259351","0.2","0.2"
"13","djak","0.0752597736114908","0.0737048675855055","0.0769230769230769","0.0731950936913181","0","0"
"15","oprichnik","0.0109073611134442","0.0310499276316647","0","0.0388235361266645","0","0"
"17","shpak","0.115935742395389","0.0894498702585701","0.153846153846154","0.095791738725935","0.2","0.2"
"19","jakin","0.00570756208071371","0.0232980401872449","0","0.0270200852725125","0","0"
"21","oprichniki","0.0296545073324038","0.0462146796886206","0","0.0392687339828656","0","0"
"23","posol","0.0296545073324038","0.0462146796886206","0","0.0392687339828656","0","0"
"25","patriarh","0.0296545073324038","0.0462146796886206","0","0.0392687339828656","0","0"
"27","tsaritsa","0.0296545073324038","0.0462146796886206","0","0.0392687339828656","0","0"
"29","gusljary","0.0296545073324038","0.0462146796886206","0","0.0392687339828656","0","0"
"31","militsija","0.0296545073324038","0.0462146796886206","0","0.0392687339828656","0","0"
