"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","moler","0.153926756905482","0.0787985015409289","0","0.107628207624314","0","0"
"3","buton","0.0660590747246793","0.0582746113217529","0","0.0577859117635606","0","0"
"5","dju_kruazi","0.0246821647278196","0.0407616600369624","0","0.035590514388069","0","0"
"7","sufler","0.0246821647278196","0.0407616600369624","0","0.035590514388069","0","0"
"9","madlena","0.024857124023326","0.0443905053352743","0","0.0335812468361824","0","0"
"11","sharlatan","0.00415692906952458","0.0238180536191107","0","0.0152797788248121","0","0"
"13","ljudovik","0.101084551528288","0.0637185050242013","0","0.0822553638876991","0","0"
"15","rival","0.0246821647278196","0.0407616600369624","0","0.035590514388069","0","0"
"17","lagranzh","0.0716268454207974","0.0604087559595158","0","0.0679101281102761","0","0"
"19","armanda","0.101084551528288","0.0637185050242013","0","0.0822553638876991","0","0"
"21","odnoglazyj","0.101084551528288","0.0637185050242013","0","0.0822553638876991","0","0"
"23","muarron","0.153926756905482","0.0787985015409289","0","0.107628207624314","0","0"
"25","de_lessak","0.00597592616222194","0.0233898334781592","0","0.00856664460106694","0","0"
"27","pridvornye","0.00597592616222194","0.0233898334781592","0","0.00856664460106694","0","0"
"29","spravedlivyj_sapozhnik","0.0296383659130833","0.0447010544349788","0","0.0447801876873953","0","0"
"31","sharron","0.0296383659130833","0.0447010544349788","0","0.0447801876873953","0","0"
"33","varfolomej","0.00597592616222194","0.0233898334781592","0","0.00856664460106694","0","0"
"35","brat_vernost","0.0296383659130833","0.0447010544349788","0","0.0447801876873953","0","0"
"37","brat_sila","0.00655042347707145","0.0252986626655602","0","0.0093454304738912","0","0"
"39","neznakomka_v_maske","0.00655042347707145","0.0252986626655602","0","0.0093454304738912","0","0"
"41","chleny_kabaly","0.00655042347707145","0.0252986626655602","0","0.0093454304738912","0","0"
"43","rene","0.00721740584175206","0.0206339745876343","0","0.0228573653673922","0","0"
"45","hor_vrachej","0.00721740584175206","0.0206339745876343","0","0.0228573653673922","0","0"
"47","monashka","0.00721740584175206","0.0206339745876343","0","0.0228573653673922","0","0"
