"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","bezhar","0.00854224698235841","0.0531280638066721","0","0","0","0"
"3","brendavuan","0.168739011043284","0.0676753491083495","0","0.125","0","0"
"5","juber","0","0.0280214102122473","0","0","0","0"
"7","dju_kruazi","0","0.0280214102122473","0","0","0","0"
"9","uchitel_tantsev","0.00854224698235841","0.0531280638066721","0","0","0","0"
"11","uchitel_muzyki","0.00854224698235841","0.0531280638066721","0","0","0","0"
"13","zhurden","0.168739011043284","0.0676753491083495","0","0.125","0","0"
"15","uchitel_fehtovanija","0.00854224698235841","0.0531280638066721","0","0","0","0"
"17","pevets","0","0.0280214102122473","0","0","0","0"
"19","pevitsa","0","0.0280214102122473","0","0","0","0"
"21","nikol","0.168739011043284","0.0676753491083495","0","0.125","0","0"
"23","pankrass","0.00854224698235841","0.0531280638066721","0","0","0","0"
"25","statuja","0","0.0280214102122473","0","0","0","0"
"27","don_zhuan","0","0.0280214102122473","0","0","0","0"
"29","gospozha_zhurden","0.168739011043284","0.0676753491083495","0","0.125","0","0"
"31","dorant","0.168739011043284","0.0676753491083495","0","0.125","0","0"
"33","kovel","0.0254904284952291","0.0428734200694242","0","0.09375","0","0"
"35","portnoj","0.00581599794543552","0.0281803969368558","0","0","0","0"
"37","kleont","0.0254904284952291","0.0428734200694242","0","0.09375","0","0"
"39","dorimena","0.0254904284952291","0.0428734200694242","0","0.09375","0","0"
"41","ljusil","0.0254904284952291","0.0428734200694242","0","0.09375","0","0"
"43","notarius","0.00581599794543552","0.0281803969368558","0","0","0","0"
