"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","goncharova","0.1027665484868","0.0603443269253879","0.0593497913118344","0.0702640823519728","0.0718518518518518","0.0552120320790438"
"3","bitkov","0.0934539815686703","0.0594741092963545","0.102355462389339","0.0753107818284112","0.151851851851852","0.0973015576374613"
"5","nikita","0.0206330832805459","0.0288023391288623","0.011184625078765","0.0348556073122187","0.02","0.0166651770116437"
"7","shishkin","0.00458188004740158","0.0177063505148496","0.00387430047352561","0.0167407119302778","0.00740740740740741","0.00949045672823004"
"9","pushkina","0.1027665484868","0.0603443269253879","0.0593497913118344","0.0702640823519728","0.0718518518518518","0.0552120320790438"
"11","dantes","0.0638770843686903","0.0434991240237507","0.0315902100607036","0.0435134983740671","0.0711111111111111","0.0361661154943082"
"13","nikolaj","0.0252709251341681","0.0390007321031233","0.0144927536231884","0.0367664857142561","0","0.0136506569378651"
"15","kamerjunker","0.0123383134185925","0.0264800119669117","0","0.0203473832436182","0","0"
"17","zhukovskij","0.0629294315182638","0.0487216055407423","0.0419513123335018","0.0546356174300012","0.012962962962963","0.0409925977687676"
"19","voroncova","0.044078773110738","0.0394695595412702","0.0434782608695652","0.0405749705017145","0","0.0455021897928838"
"21","voroncov","0.0123383134185925","0.0264800119669117","0","0.0203473832436182","0","0"
"23","dolgorukov","0.044078773110738","0.0394695595412702","0.0434782608695652","0.0405749705017145","0","0.0455021897928838"
"25","bogomazov","0.0823296724505848","0.0506829124803722","0.0579710144927536","0.0541044176497672","0","0.0591528467307489"
"27","gekkeren","0.0386342922936944","0.0369558802399881","0.0165406427221172","0.0341260149767926","0.04","0.0218451137961014"
"29","danzas","0.0332111163686076","0.0355821759549443","0.0208423016214665","0.0442997831863389","0.012962962962963","0.0250668313412583"
"31","gornichnaja_devushka","0.0102382017733084","0.0195912677656772","0.00976685570258349","0.0209446399471422","0","0.0168398729188842"
"33","dal","0.0102382017733084","0.0195912677656772","0.00976685570258349","0.0209446399471422","0","0.0168398729188842"
"35","dubelt","0.0253900840547893","0.0319387505997107","0.0319785759294266","0.03573446595619","0","0.038453413070504"
"37","rakeev","0.0300557939953037","0.0361457262712795","0.0652173913043478","0.0370751869490309","0.14","0.0591528467307489"
"39","vasilij_maksimovich","0.00871072282914698","0.0216958473626253","0.0072463768115942","0.0143046426942167","0","0"
"41","benkendorf","0.00871072282914698","0.0216958473626253","0.0072463768115942","0.0143046426942167","0","0"
"43","smotritel","0.0102485199630727","0.0157746387009167","0.0217391304347826","0.0140342225633929","0.06","0.0213291514654143"
"45","turgenev","0.0102485199630727","0.0157746387009167","0.0217391304347826","0.0140342225633929","0.06","0.0213291514654143"
"47","smotritelsha","0.0102485199630727","0.0157746387009167","0.0217391304347826","0.0140342225633929","0.06","0.0213291514654143"
"49","ponomarev","0.0102485199630727","0.0157746387009167","0.0217391304347826","0.0140342225633929","0.06","0.0213291514654143"
"51","sluga","0.00437951070327509","0.0122187759502706","0.0072463768115942","0.0111820569381416","0.02","0"
"53","stroganov","0.00437951070327509","0.0122187759502706","0.0072463768115942","0.0111820569381416","0.02","0"
"55","kukolnik","0.0157231837724617","0.0189619668331099","0.036231884057971","0.0144482766129259","0","0.0379184914940698"
"57","benediktov","0.0157231837724617","0.0189619668331099","0.036231884057971","0.0144482766129259","0","0.0379184914940698"
"59","saltykova","0.0157231837724617","0.0189619668331099","0.036231884057971","0.0144482766129259","0","0.0379184914940698"
"61","filat","0.0157231837724617","0.0189619668331099","0.036231884057971","0.0144482766129259","0","0.0379184914940698"
"63","saltykov","0.0157231837724617","0.0189619668331099","0.036231884057971","0.0144482766129259","0","0.0379184914940698"
"65","agafon","0.0157231837724617","0.0189619668331099","0.036231884057971","0.0144482766129259","0","0.0379184914940698"
"67","kvartalnyj","0.006425110596166","0.0116734530064701","0.0144927536231884","0.0115917758026364","0.04","0.0113755474482209"
"69","student","0.006425110596166","0.0116734530064701","0.0144927536231884","0.0115917758026364","0.04","0.0113755474482209"
"71","oficer","0.006425110596166","0.0116734530064701","0.0144927536231884","0.0115917758026364","0.04","0.0113755474482209"
