"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Medvedenko","0.0787353633281637","0.0862761324210871","0.0703726546790826","0.0848623907887406","0","0.0849679754995195"
"3","Masha","0.0981897201120166","0.0951427066437191","0.0925677893751173","0.096841333124758","0","0.0981329778036274"
"5","Sorin","0.107214917075116","0.108830616263591","0.125624238438467","0.10475505747964","0","0.104707244894002"
"7","Treplev","0.0794776336502632","0.0851631790751534","0.0716033027239854","0.0861538562605314","0.169154228855721","0.0866190436766145"
"9","Arkadina","0.202092381800239","0.14255018430832","0.203969142817374","0.150940965957261","0.260364842454395","0.153624315184852"
"11","Trigorin","0.0792481793633154","0.0906120113847384","0.0808358143292927","0.0871874978876752","0.129353233830846","0.0866699974583715"
"13","Dorn","0.120979971254286","0.105529973023116","0.127734153474968","0.111091211809912","0","0.112799324367947"
"15","PolinaAndreevna","0.100125015038825","0.0944365029127973","0.0994987521501546","0.0987734298510451","0","0.0998820381249563"
"17","Shamraev","0.0779372260037472","0.0878325554029591","0.0866936339469224","0.0833736435686542","0.260364842454395","0.0836207591872826"
"19","Nina","0.0498475755690252","0.070691424322449","0.0367870753649894","0.0678619062603702","0","0.0665002625763838"
"21","Jakov","0.0040585066180254","0.0197855764908234","0.00286215843212715","0.0172553967361517","0.111111111111111","0.0149500362084097"
"23","Povar","0.00209351018697805","0.0131491377512463","0.00145128426752006","0.010903310275261","0.0696517412935323","0.00752602501803387"
