"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Marina","0.0410958003165834","0.0800471252011932","0.0314289483129655","0.0718632486680143","0.0250817527795945","0.0698000244865283"
"3","Astrov","0.130039043358263","0.12968310080337","0.125318166587492","0.126528858019358","0.152157759608063","0.127563507600221"
"5","Vojnitskij","0.240013695028407","0.175677654152246","0.266160176559662","0.189590131672268","0.223726792674565","0.193611878621077"
"7","Sonja","0.202859071490534","0.157253888174797","0.200567880540531","0.160564276704045","0.217615831853448","0.164448187206358"
"9","Serebrjakov","0.0921330645947028","0.115885751885613","0.0974971274838638","0.109680631678549","0.0952877012635418","0.108757017896815"
"11","Telegin","0.077096187365569","0.0943568987112726","0.0631985095490481","0.0900123277895805","0.0497613194044387","0.09153023496896"
"13","MarijaVasilevna","0.0457264908446288","0.0675249646866564","0.037821344207752","0.0698823597894957","0.0140563213385439","0.0717715995274758"
"15","ElenaAndreevna","0.169241222526176","0.152261079581656","0.176741988766533","0.152616924573923","0.222312521077806","0.155335282905784"
"17","Rabotnik","0.00179542447513647","0.0273095368031962","0.00112635837122754","0.019502309144108","0","0.0171822667867813"
"19","GolosStorozha","0","0","0.000139499620924943","0.00975893196065741","0","0"
