"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Ivanov","0.143481090696113","0.10618865604307","0.177110651524893","0.108931499151353","0.284448099415205","0.127062141928627"
"3","Borkin","0.0839000690347656","0.0838290411019627","0.0843310349688169","0.0784686890420385","0.244928728070175","0.0968646574013636"
"5","AnnaPetrovna","0.0120756146344231","0.0385226535420056","0.0125184418027523","0.0344831969575468","0.113075657894737","0.039734281225997"
"7","Shabelskij","0.122681047722713","0.0956278756908285","0.140360897183832","0.100238194095458","0.25813230994152","0.111576176496391"
"9","Lvov","0.0500184171891064","0.0696878692887256","0.0488921295508985","0.0649639765651157","0.0730994152046784","0.066894180815928"
"11","ZinaidaSavishna","0.084202371334466","0.0762574935100164","0.0647320216930683","0.0784458283316983","0","0.0843952712785009"
"13","Lebedev","0.143041573767827","0.108860488790397","0.150389831705895","0.113886988485559","0.0263157894736842","0.114623349505156"
"15","Babakina","0.0767588024220911","0.0694760310573926","0.0740577633284853","0.0720418199494521","0","0.071633590191154"
"17","Sasha","0.0982432442303703","0.096193412732675","0.118413289834586","0.0913402980490858","0","0.0909975052739828"
"19","Baryshni","0.0028555044063592","0.0167977914563537","0.00206453219730559","0.0167025800249518","0","0.012450856668579"
"21","AvdotjaNazarovna","0.0596886246254409","0.0605412934781892","0.0441861834935247","0.0616419151955138","0","0.0575212257627892"
"23","GolosaVZale","0.000516029694702047","0.0120059929982843","0.000226208741492584","0.00967621644960235","0","0"
"25","Kosyh","0.0385529210226897","0.0482465526527518","0.0189276059644659","0.0497538375705196","0","0.0438436363296545"
"27","PerviyGost","0.0303482959755858","0.0393645665981634","0.0262459996360873","0.0384755717498075","0","0.0309097564935462"
"29","Egorushka","0.00821721522695572","0.0177039633111379","0.00508819707233351","0.0182091247553356","0","0.0109595753753097"
"31","VtorojGost","0.00821721522695572","0.0177039633111379","0.00508819707233351","0.0182091247553356","0","0.0109595753753097"
"33","TretijGost","0.0372019627894354","0.0429923544369085","0.0273670142292297","0.0445311388716265","0","0.0295742198777118"
