"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Julja","0.112181499333659","0.100328572800318","0.134413032747168","0.101102357021186","0","0.104253161479221"
"3","Zheltuhin","0.0877182035986001","0.0866322038671934","0.0674244406556771","0.0870833511017941","0","0.0931444367381596"
"5","Orlovskij","0.16223730704817","0.127115497515877","0.237726322991902","0.128151520149074","0","0.132990975389847"
"7","Vojnitskij","0.0932516133988059","0.0931048502643898","0.088531823987615","0.0918984721254143","0","0.100220091607562"
"9","Djadin","0.111326966422229","0.100314168449255","0.116971147248957","0.101151921771048","0","0.123531057233993"
"11","FedorIvanovich","0.083853459975044","0.0833728688394581","0.0715812311098438","0.0843091371312635","0","0.0930798466580538"
"13","Vasilij","0.0010297496243192","0.0110339289016156","0","0.0101494147432212","0","0"
"15","Serebrjakov","0.0956683314508444","0.0920404816676788","0.100266025607965","0.0928781736162946","0","0.112709189221242"
"17","MarjaVasilevna","0.0218014009441689","0.042335710326125","0.00281460715679978","0.0418528389544647","0","0.0208573457098374"
"19","Sonja","0.0853412595925662","0.0868858609761546","0.0919476159693203","0.0872725016922531","0","0.089863077663708"
"21","Hruschov","0.0625428140206253","0.0745833779543506","0.0443324826470733","0.0728636138619461","0","0.0619345818048166"
"23","ElenaAndreevna","0.0785248912181432","0.081236602824769","0.0439912698776785","0.0816897446563426","0","0.0674162364935579"
"25","Semen","0.00452250337282412","0.0210158756128161","0","0.0195969531756977","0","0"
