"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","efimovna","0.11257315490309","0.106387321400632","0.111950565216201","0.106225759229547","0","0.110038132941345"
"3","nazarovna","0.0756725701324938","0.089229438232541","0.0743430013796638","0.0884238279950323","0.25","0.0907247988485386"
"5","savva","0.11257315490309","0.106387321400632","0.111950565216201","0.106225759229547","0","0.110038132941345"
"7","fedja","0.127139037843316","0.115580204658052","0.142450202622653","0.11668132043917","0","0.12144304762533"
"9","golos_iz_ugla","0.11257315490309","0.106387321400632","0.111950565216201","0.106225759229547","0","0.110038132941345"
"11","tihon","0.16112232409227","0.134209598821059","0.18217918268153","0.13514878751081","0.25","0.138836793295114"
"13","bortsov","0.142368743722205","0.122554452132852","0.165250799627938","0.125008386572323","0.25","0.130008202920675"
"15","merik","0.0919379305701579","0.0926857024678398","0.0855503989182192","0.0953471809737412","0.25","0.0989816712299378"
"17","kuzma","0.0225527400277912","0.0430684956425842","0.00397807637906648","0.0417403551889491","0","0.0301280402420061"
"19","kucher","0.0351449217400562","0.0538027298207279","0.00930133484805453","0.0529479659699158","0","0.0473196093377434"
"21","marja_egorovna","0.00634226716244187","0.0297074140224495","0.00109530789427057","0.0260248976614197","0","0.0124434376766207"
