"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Zmejukina","0.123086082286746","0.10654469245946","0.18033350830165","0.106540918606944","0","0.119863958084383"
"3","Jat","0.123086082286746","0.10654469245946","0.18033350830165","0.106540918606944","0","0.119863958084383"
"5","Shafer","0.0923032019570804","0.0886621073324558","0.168428559142251","0.0889933984523536","0","0.171155437080614"
"7","Aplombov","0.110038130202273","0.0973561065661444","0.0896782709815257","0.0988540429570824","0.5","0.149094585899439"
"9","Zhigalov","0.0885688445497202","0.0861206469670218","0.0469879149239602","0.0860064943028832","0","0.119772037871128"
"11","Dymba","0.0885688445497202","0.0861206469670218","0.0469879149239602","0.0860064943028832","0","0.119772037871128"
"13","NastasjaTimofeevna","0.130263243166901","0.110114058834361","0.26359636593596","0.11237403277598","0.5","0.200477985108925"
"15","Mozgovoj","0.0610337786184035","0.0684376841664934","0.00573429272461611","0.0685745675038688","0","0"
"17","Dashenka","0.0610337786184035","0.0684376841664934","0.00573429272461611","0.0685745675038688","0","0"
"19","Kavalery","0.0610337786184035","0.0684376841664934","0.00573429272461611","0.0685745675038688","0","0"
"21","Revunov","0.0178600765018014","0.0378388588991931","0","0.0378363704500309","0","0"
"23","Njunin","0.042095388896411","0.0588260181185566","0.00645107931519312","0.0585849432972188","0","0"
"25","Lakej","0.00102876974739033","0.0165591188968453","0","0.0125386837360732","0","0"
