"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","OIvan",0,0,0,0,0,0
"3","ArhierejskijHor",0,0,0,0,0,0
"5","Patronnikov",0,0,0,0,0,0
"7","Zonenshtejn",0,0,0,0,0,0
"9","Djakon",0,0,0,0,0,0
"11","SobornyjHor",0,0,0,0,0,0
"13","ONikolaj",0,0,0,0,0,0
"15","Baryshnja",0,0,0,0,0,0
"17","VTolpe",0,0,0,0,0,0
"19","Kotelnikov",0,0,0,0,0,0
"21","Volgin",0,0,0,0,0,0
"23","TovarischProkurora",0,0,0,0,0,0
"25","Kokoshkina",0,0,0,0,0,0
"27","Kokoshkin",0,0,0,0,0,0
"29","Djachok",0,0,0,0,0,0
"31","Sabinin",0,0,0,0,0,0
"33","Hor",0,0,0,0,0,0
"35","Olenina",0,0,0,0,0,0
"37","Matveev",0,0,0,0,0,0
"39","Komik",0,0,0,0,0,0
"41","KtoTo",0,0,0,0,0,0
"43","OfitserIzTolpy",0,0,0,0,0,0
"45","MolodojAkter",0,0,0,0,0,0
"47","OAleksej",0,0,0,0,0,0
"49","Student",0,0,0,0,0,0
"51","Damy",0,0,0,0,0,0
"53","Kuzma",0,0,0,0,0,0
"55","DamaVChernom",0,0,0,0,0,0
