"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Olga","0.0972093141781488","0.0957933277528898","0.0996821698744418","0.0936592297393609","0.0783852635704488","0.0964386905905971"
"3","Irina","0.230821980271134","0.154023604692686","0.231202856657521","0.158957812669488","0.193258867332941","0.163929248234905"
"5","Chebutykin","0.120772712602141","0.105965736229895","0.125290449779213","0.108982722108875","0.0494708994708995","0.112558850093994"
"7","Tuzenbah","0.121665566966665","0.108481757933694","0.129494332455199","0.10481132496213","0.0494708994708995","0.107024937900456"
"9","Solenyj","0.0425557008818326","0.0589024470050091","0.0341988952347648","0.0597000918926073","0","0.061450856509677"
"11","Masha","0.161994457909133","0.125083530094263","0.192179991452965","0.129027897112786","0.161904761904762","0.132466083203155"
"13","Anfisa","0.0088972001212032","0.0289075648950978","0.00375856201588958","0.0261405744626119","0.0156770527140898","0.0207107180025836"
"15","Ferapont","0.00501958919177348","0.0252273488758592","0.00443740982227806","0.0195759108123979","0","0.0173556738896592"
"17","Vershinin","0.0780566207635393","0.0809157915126209","0.071200212565854","0.0833604791611088","0","0.0841497544411463"
"19","Andrej","0.032223013237251","0.0477526486167758","0.0337529259753458","0.048441556886909","0.213599843229473","0.0465461676074072"
"21","Kulygin","0.0541172861165194","0.0703009149791766","0.0443905284483609","0.0693076351038601","0.044973544973545","0.0691369343592153"
"23","Natasha","0.0203006766120751","0.0379721011007581","0.0130350092555867","0.0385006977159152","0.0313541054281795","0.0372076529119812"
"25","Fedotik","0.0176519882356136","0.0352346105633935","0.0109110624564707","0.0351073009000497","0.161904761904762","0.0321548862897539"
"27","Rode","0.0087138929129706","0.0254386157478811","0.00646559400611007","0.0244267664718999","0","0.0188695459654694"
