"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Lopahin","0.139730873292044","0.116592226021937","0.161787987618993","0.120389222265933","0.156720038816109","0.121562338778636"
"3","Dunjasha","0.022273606608021","0.0426952939149199","0.0190524367283492","0.0408533038113224","0","0.0396802127058765"
"5","Epihodov","0.016288043733993","0.0337175251182239","0.00810048566222149","0.031501005772315","0.164968461911693","0.0312994357251077"
"7","Varja","0.150087467946344","0.124306860236642","0.151480539490856","0.12805964535091","0.119683001779072","0.129425144119088"
"9","Anja","0.0837499767243066","0.0885417415570052","0.0753959934505117","0.088307976600358","0.0646935144751739","0.0882570810962554"
"11","LjubovAndreevna","0.216065201181876","0.150028530241467","0.221029518332003","0.153042057302557","0.0740740740740741","0.154106528444609"
"13","Gaev","0.16976617096346","0.133358934267688","0.195966970916225","0.133273254671675","0.037037037037037","0.134055583812213"
"15","Firs","0.0379952366836165","0.0603776066288259","0.0345376632636059","0.059441145621654","0.0582241630276565","0.0593349261699025"
"17","Pischik","0.0542009901266892","0.0719437753441437","0.0500392255329734","0.0704295424719366","0.037037037037037","0.0692460455672026"
"19","Jasha","0.0522673416972421","0.0658288031207824","0.0436063876226478","0.0655792633581169","0.213488597768074","0.0664837897041869"
"21","Sharlotta","0.0122886796428989","0.0290134948946183","0.00758430866456106","0.0299996604500618","0.037037037037037","0.0289600651652132"
"23","Trofimov","0.0435920795634472","0.0630581264631543","0.0306983030914536","0.061393131736441","0.037037037037037","0.0612280328649678"
"25","Prohozhij","0.000422938976312277","0.00883723785164063","0.000400392091741496","0.00760184841643025","0","0.00696933912092326"
"27","NachalnikStantsii","0.00127139285974999","0.0116998443389523","0.000319787533856935","0.0101289421702894","0","0.00939147672581822"
