"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","toisiokov","0.136369577245684","0.13390414525211","0.172773544121791","0.132123714076188","0.13450298519413","0.132696702065949"
"3","dvoretskij","0.0233419298514414","0.0575711879979909","0.0201945150430777","0.0542416608721981","0.0309332447341497","0.0512927928811136"
"5","prolaz","0.0760706133625092","0.102028123667733","0.075970925171494","0.0993713199723377","0.0380194992976948","0.0941499860402207"
"7","reshimova","0.304952262037266","0.167457852183033","0.292987558439507","0.192795639189845","0.343268859516769","0.197992826111355"
"9","toisiokova","0.0928340810576374","0.121971636991696","0.0924781644326943","0.100620896759084","0.110892660825063","0.10047092447157"
"11","flena_osipovna","0.172796262585267","0.127431593760806","0.161307175095953","0.135692212980762","0.184919800685799","0.140055380167481"
"13","zdravomyslov","0.0521600467198557","0.0757288524482642","0.0515366552509109","0.0724367497157493","0.0398996088078146","0.0728519661871695"
"15","lafler","0.0191901737646806","0.0402506402072597","0.0173016390489679","0.0422571904668898","0.01973231507393","0.0430178985446896"
"17","masha","0.0501970369719274","0.0602019781268033","0.0463968416676335","0.0641788376371832","0.0251792079847762","0.0650818954722542"
"19","andrej","0.0561447592861627","0.0695773395109282","0.053720251868204","0.0683422033990584","0.0676350954718475","0.0685387557573447"
"21","kupets","0.0159432571175685","0.0438766498533751","0.0153327298597674","0.0379395749307044","0.00501672240802676","0.0338508723008532"
