"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","gospozha_prostakova","0.168211757250241","0.128359196928266","0.195756412264279","0.132140816876551","0.111111111111111","0.150557144260746"
"3","trishka","0.00019289871261604","0.0072242036664931","0","0.0056896007338704","0","0"
"5","mitrofan","0.0780201214220726","0.0804857036133608","0.0639619374251479","0.0825697691006762","0.111111111111111","0.0857014961977126"
"7","prostakov","0.0734621884610716","0.0812164124233559","0.0640863776570763","0.0794764443289117","0.111111111111111","0.068361078636774"
"9","skotinin","0.0879688654662361","0.0906818053671209","0.0933285525369936","0.0906471531581754","0.111111111111111","0.0879688753890792"
"11","eremeevna","0.0601619831113476","0.0703502692816415","0.0500614769980337","0.0709801030571554","0","0.062943967721011"
"13","sofja","0.0855791152451928","0.0852836641665579","0.0877451766952342","0.086508254479828","0.0909090909090909","0.0928948310816583"
"15","pravdin","0.160560578301522","0.121362697666829","0.166938819066963","0.124887992584154","0.111111111111111","0.12978078454553"
"17","milon","0.0959069423485036","0.0897333813947839","0.0939351435705408","0.0919824645745565","0","0.0984003608627063"
"19","kutejkin","0.0333609470819663","0.048252027295049","0.029038801935244","0.0457589731657781","0","0.0389680758264826"
"21","tsyfirkin","0.0333609470819663","0.048252027295049","0.029038801935244","0.0457589731657781","0","0.0389680758264826"
"23","starodum","0.113574439746308","0.0996597485522399","0.117891242604508","0.100939385689003","0.262626262626263","0.103652075323776"
"25","vralman","0.00826016203210919","0.0256557195081299","0.00746436424930331","0.023941394493913","0.0909090909090909","0.0224049626787172"
"27","sluga","0.00038746713345312","0.00891228496009732","0.000131658508697978","0.00722600505605038","0","0.00746177169991205"
"29","kamerdiner","0.000991586605393635","0.0145708578810264","0.000621234552734795","0.0114926695355987","0","0.011936499949412"
