"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","knjaginja","0.252956382100094","0.175956738768719","0.264645027770385","0.181295255996753","0.239152770988944","0.183905466719923"
"3","knjaz","0.252956382100094","0.175956738768719","0.264645027770385","0.181295255996753","0.239152770988944","0.183905466719923"
"5","seum","0.218518592389067","0.164725457570715","0.218791009460749","0.172520665570199","0.231166224348343","0.179336777054227"
"7","devka","0.00584077575591386","0.030306631804136","0.00256520588999012","0.0275925411709422","0.0048416719757904","0.0264427500100978"
"9","njanja","0.0292923099097607","0.047153553601141","0.0244877199155206","0.0468355511886708","0.0048416719757904","0.0438378788354778"
"11","drugaja_njanja","0.0292923099097607","0.047153553601141","0.0244877199155206","0.0468355511886708","0.0048416719757904","0.0438378788354778"
"13","tretja_njanja","0.0292923099097607","0.047153553601141","0.0244877199155206","0.0468355511886708","0.0048416719757904","0.0438378788354778"
"15","molodoj_knjaz","0.0292923099097607","0.047153553601141","0.0244877199155206","0.0468355511886708","0.0048416719757904","0.0438378788354778"
"17","nelstecov","0.0994832023283549","0.140658426432137","0.116663387995356","0.129965610782408","0.209470104783725","0.128470835334192"
"19","sluga","0.0174963713856229","0.0505110530068933","0.009762159434144","0.0470107012410022","0.0158702241262692","0.0478007010111255"
"21","grafinja","0.017789527150905","0.0366353696220585","0.0124886510084535","0.0364888822436295","0.0204897724424119","0.0373932439042999"
"23","pelikan","0.017789527150905","0.0366353696220585","0.0124886510084535","0.0364888822436295","0.0204897724424119","0.0373932439042999"
