"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","inslar","0.230254668066513","0.112235940155774","0.247499998815274","0.129810614958137","0.226153894008999","0.201732119968727"
"3","ehrik","0.0895209316085148","0.0830484942440713","0.0823164235503142","0.0749129701525233","0.0537431318681319","0.0495641633771554"
"5","gilderberg","0.0553340564071815","0.0553141946369313","0.064918534181361","0.0547665611839402","0.0502964237903997","0.0505628313527905"
"7","sluzhitel","0.00162406015037594","0.0163556784151117","0","0.0137325489430173","0","0"
"9","posol","0.00162406015037594","0.0163556784151117","0","0.0137325489430173","0","0"
"11","vestnik","0.00971789760275129","0.0328732325967986","0.0125863636857684","0.0286316541433421","0.00631095811818703","0.014914036214707"
"13","floran","0.0557761132594703","0.0680625338538262","0.0548017643704223","0.0676901746227387","0.0914161840668621","0.0831440909887299"
"15","sluzhiteli","0.00162406015037594","0.0163556784151117","0","0.0137325489430173","0","0"
"17","velzen","0.218647930935272","0.118403406862287","0.216247413228352","0.133336236527639","0.208028526793916","0.186384733186021"
"19","odin_iz_sluzhitelej","0.0119661304580657","0.0244942938792282","0.00657894736842105","0.0224280557659638","0.010989010989011","0"
"21","ranenyj","0.0119661304580657","0.0244942938792282","0.00657894736842105","0.0224280557659638","0.010989010989011","0"
"23","ehdvald","0.0595897194320881","0.0652832514615514","0.0722474908326636","0.0719521518388217","0.103570354696906","0.0689738755902293"
"25","godmila","0.0941743109150572","0.088384168550029","0.0821054425062862","0.0875040358799626","0.108780634125548","0.0781616209660717"
"27","nekotorye","0.0446957493640586","0.0488541063523786","0.0615865599370366","0.0527475215078311","0.0224155037164737","0.0499999766467948"
"29","starejshij_vozhd","0.0479676554420765","0.0472702142363511","0.0489127021312056","0.0498434474464647","0.0569351981078432","0.0598321006450113"
"31","vse_5-9","0.0152548317969508","0.0283494275201255","0.00899286462424718","0.0287717992502721","0.00726546181091636","0.0279698366604645"
"33","vse_4-2","0.0152486683671405","0.0327873139206933","0.00914511467109986","0.0299710824252054","0.00932875273989732","0.0337519204296005"
"35","odin_iz_naroda","0.00503908074293944","0.0253908365864136","0.00225563909774436","0.0202203084599962","0.00309065934065934","0.0151899437192"
"37","posol_ot_florana","0.0114182028905357","0.0265339285380751","0.00948933672471141","0.0244163039873174","0.0138917686087497","0.02319119058221"
"39","vozhdi","0.0114182028905357","0.0265339285380751","0.00948933672471141","0.0244163039873174","0.0138917686087497","0.02319119058221"
"41","vtoroj_posol_ot_florana","0.0040556029993194","0.0235753376043632","0.00239679123459206","0.0211568085624877","0.00290275761973875","0.0168995823357092"
"43","vtoroj_voin","0.00308193591233605","0.0190440613384635","0.00185032894736842","0.013798266705024","0","0.0165367867543677"
