"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","gorodnichij","0.143459665720005","0.0820890013490027","0.130103632176434","0.103898145066351","0.0978865406006674","0.125165891779028"
"3","ammos_fedorovich_ljapkin_tjapkin","0.0753558191968436","0.053289720444452","0.0381023710385399","0.052375702043038","0","0.0353229698766665"
"5","artemij_filippovich_zemljanika","0.109939233236775","0.0626526948751008","0.0381023710385399","0.0755123745884008","0","0.0353229698766665"
"7","luka_lukich","0.0966429209662618","0.0610532980975095","0.0381023710385399","0.0724284496664728","0","0.0353229698766665"
"9","lekar","0.00340244789980526","0.0163593405407159","0.00761667359091539","0.0101347598066454","0","0"
"11","pochtmejster","0.0194779665078569","0.034497813682998","0.0163165229677211","0.0356160819894525","0","0.0237708036276938"
"13","bobchinskij","0.0880812909329731","0.0590498813500058","0.0391665437404673","0.0705849513585475","0","0.035989441006415"
"15","dobchinskij","0.0736512584856831","0.0543439630687413","0.0163165229677211","0.0592783616048791","0","0.0237708036276938"
"17","chastnyj_pristav","0.0242336451833854","0.0412665737726225","0.0163165229677211","0.0389226832635714","0","0.0237708036276938"
"19","svistunov","0.00240724141511973","0.0143636894335242","0.00486977780406538","0.00911892161219858","0","0"
"21","anna_andreevna","0.0969000348502447","0.062855824174749","0.0500991225884199","0.0746311634582463","0.032258064516129","0.057368789403835"
"23","marja_antonovna","0.0688755042869974","0.0572618493584995","0.0393638797039836","0.0652605925918558","0.032258064516129","0.0469143403097421"
"25","hlestakov","0.0780541838348488","0.0501276371718391","0.25242330655763","0.0734327069491423","0.294053221528194","0.20699809206304"
"27","sluga","0.00131004675601476","0.0126257129138284","0.00614076523382145","0.0133807322862062","0","0"
"29","osip","0.0257987719445041","0.0314627131884438","0.0982743536368299","0.0391809474619103","0.265132198168906","0.102192239894759"
"31","derzhimorda","0.000196269308040011","0.00751717194794171","0.00377893245158243","0.0060998418608487","0","0"
"33","golos_jamschika","0.000548485933715679","0.00787146504587181","0.00425129900803023","0.00893560324418029","0","0"
"35","kuptsy","0.0127321117614874","0.0275181700438043","0.0800038000091746","0.0245160372718444","0.0957816377171216","0.0879916132086156"
"37","odin_iz_kuptsov","0.00226188274108729","0.0115945627169872","0.0185994331601323","0.0106117766804811","0.0476426799007444","0.0287206948723831"
"39","zhena_luki_lukicha","0.00246093755698952","0.020647824543399","0","0.00751545777324722","0","0"
"41","mnogie_iz_gostej","0.00961505586306485","0.0314501409444535","0","0.018026121355359","0","0"
"43","zhena_korobkina","0.0154754119494632","0.0332919389924047","0","0.018026121355359","0","0"
"45","korobkin","0.0154754119494632","0.0332919389924047","0","0.018026121355359","0","0"
"47","rastakovskij","0.0103978451280602","0.0333632312530645","0","0.0246082556714691","0","0"
"49","gostja","0.00961505586306485","0.0314501409444535","0","0.018026121355359","0","0"
"51","ljuljukov","0.00179644791648461","0.0202668991861548","0","0.00751545777324722","0","0"
"53","odna_iz_dam","0.00232237983267541","0.0184152519507814","0","0.00751545777324722","0","0"
"55","mishka","1.93785905062939e-05","0.00478233156372015","0.00141709966934341","0.00482509337622673","0","0"
"57","slesarsha","0.00474664719428922","0.0126196092262631","0.0503173493251936","0.015997979703427","0.0674937965260546","0.0656887884745507"
"59","unter-ofitsersha","0.00474664719428922","0.0126196092262631","0.0503173493251936","0.015997979703427","0.0674937965260546","0.0656887884745507"
