"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","PervyjCommeIlFaut","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"3","VtorojCommeIlFaut","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"5","PervyjOfitser_1","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"7","VtorojOfitser_1","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"9","GospodinNeskolkoBezzabotnyjNaschetLiteratury","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"11","Drugoj","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"13","OdnaBekesha_1","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"15","DrugajaBekesha_1","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"17","PervyjOfitser_2","0.0194285714285714","0.00539374325782093","0.0346938775510204","0.016285381930981","0.0338345864661654","0.0333184590212703"
"19","VtorojOfitser_2","0.0194285714285714","0.00539374325782093","0.0346938775510204","0.016285381930981","0.0338345864661654","0.0333184590212703"
"21","OdinDrugojOfitser","0.00857142857142857","0.00377562028047465","0.0153061224489796","0.0127956572314851","0.0161654135338346","0.0261787892309981"
"23","DrugojDrugojOfitser","0.00857142857142857","0.00377562028047465","0.0153061224489796","0.0127956572314851","0.0161654135338346","0.0261787892309981"
"25","NeizvestnoKakojChelovek","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"27","Literator","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"29","PervyjLubitelIskusstva","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"31","VtorojLubitelIskusstva","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"33","TretijLubitelIskusstva","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"35","ChetvertyjLubitelIskusstva","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"37","PjatyjLubitelIskusstva","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"39","NomerOdin","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"41","NomerDva","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"43","GospodinA","0.0122857142857143","0.00620280474649407","0.0222222222222222","0.0108569212873207","0.0224025974025974","0.0281124497991968"
"45","GospodinB","0.0145","0.00809061488673139","0.0214285714285714","0.0104691740984878","0.0307453416149068","0.0410531012940652"
"47","OchenSkromnoOdetyjChelovek","0.0122857142857143","0.00620280474649407","0.0222222222222222","0.0108569212873207","0.0224025974025974","0.0281124497991968"
"49","SinijArmjak","0.0122857142857143","0.00620280474649407","0.0222222222222222","0.0108569212873207","0.0224025974025974","0.0281124497991968"
"51","GospodinV","0.0250714285714286","0.0075512405609493","0.0488095238095238","0.0236525785188057","0.0392221908526256","0.0481927710843373"
"53","GospodinP","0.0250714285714286","0.0075512405609493","0.0488095238095238","0.0236525785188057","0.0392221908526256","0.0481927710843373"
"55","KnjazN","0.0025","0.00458468176914779","0","0","0.00931677018633541","0.0214190093708166"
"57","Statskij","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"59","Voennyj","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"61","OdnaBekesha_2","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"63","DrugajaBekesha_2","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"65","SvetskajaDama","0.008","0.00215749730312837","0.0142857142857143","0.00930593253198914","0.0142857142857143","0.0142793395805444"
"67","MuzhchinaVMundire","0.008","0.00215749730312837","0.0142857142857143","0.00930593253198914","0.0142857142857143","0.0142793395805444"
"69","MuzhchinaVoFrake","0.008","0.00215749730312837","0.0142857142857143","0.00930593253198914","0.0142857142857143","0.0142793395805444"
"71","PervyjMujchina","0.008","0.00215749730312837","0.0142857142857143","0.00930593253198914","0.0142857142857143","0.0142793395805444"
"73","VtorojMujchina","0.008","0.00215749730312837","0.0142857142857143","0.00930593253198914","0.0142857142857143","0.0142793395805444"
"75","TretijMujchina","0.008","0.00215749730312837","0.0142857142857143","0.00930593253198914","0.0142857142857143","0.0142793395805444"
"77","MuzhPervojDamy","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"79","GospodinN","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"81","PervajaMolodajaDama","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"83","VtorajaMolodajaDama","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"85","MuzhVtorojDamy","0.016","0.00431499460625674","0.0285714285714286","0.0186118650639783","0.0285714285714286","0.0380782388814517"
"87","PervyjZritel","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"89","VtorojZritel","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"91","OdinChinovnik","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"93","DrugojChinovnik","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"95","OdinMolodoj","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"97","DrugojMolodoj","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"99","MolodenkijChinovnikUklonchivogoSvojstva","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"101","GospodinVShineli","0.004","0","0.00714285714285714","0","0.00714285714285714","0"
"103","PervyjHoroshoOdetyj","0.008","0.00215749730312837","0.0142857142857143","0.00930593253198914","0.0142857142857143","0.0142793395805444"
"105","VtorojHoroshoOdetyj","0.008","0.00215749730312837","0.0142857142857143","0.00930593253198914","0.0142857142857143","0.0142793395805444"
"107","ChinovnikRazgovorchivogoSvojstva","0.008","0.00215749730312837","0.0142857142857143","0.00930593253198914","0.0142857142857143","0.0142793395805444"
"109","GolosIzTolpy_1","0","0.0324523552678893","0","0","0","0"
"111","Ofitser","0","0.0324523552678893","0","0","0","0"
"113","Kupets","0","0.0324523552678893","0","0","0","0"
"115","GolosIzTolpy_2","0","0.0324523552678893","0","0","0","0"
"117","RaznyeGolosa","0","0.0324523552678893","0","0","0","0"
