"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","podkolesin","0.0809458482345937","0.109145333456782","0.0796117328827454","0.0917392019511842","0.0819672131147541","0.0887257909467771"
"3","stepan","0.00582797511072737","0.057612211824091","0.00371193408218091","0.0366442889526426","0.0398759415152858","0.0298890058526877"
"5","fekla","0.137830812867169","0.116837975504827","0.141963185375549","0.121691193424258","0.198438192290651","0.123317822364383"
"7","kochkarev","0.235152524780182","0.149697750568772","0.231252157047788","0.167379469116099","0.270124889233496","0.173240064576307"
"9","jaichnitsa","0.142117045447129","0.116750336244983","0.14796539670444","0.122353635355625","0.101898260965884","0.122387799580235"
"11","zhevakin","0.0920887952648241","0.0948878747550165","0.0896433789068784","0.0981961047505143","0.0274931693989071","0.0975625829331854"
"13","anuchkin","0.110582378456637","0.0973884207334699","0.10773924091214","0.10221125450033","0.0878355302023335","0.103818739173886"
"15","starikov","0.0185834074872773","0.0388241921109117","0.0172841616120733","0.0419634548914312","0","0.0430024596114507"
"17","agafja_tihonovna","0.109538762837238","0.100874201616944","0.114471956417974","0.106288978077952","0.173924180327869","0.109031389693775"
"19","golos_izvozchika","0.000294200666647295","0.0146998956103332","0.000304256891982042","0.00950128164235069","0","0.00783779141868787"
"21","arina_pantelejmonovna","0.0623325934312695","0.0762885621577917","0.0622187927324415","0.0776157053000939","0.0184426229508197","0.0777608695438668"
"23","dunjashka","0.00470565541630727","0.026993245416078","0.00383380643380765","0.0244154320375196","0","0.0234256843047589"
