"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","ksenija","0.143627055625428","0.101398914397158","0.189866970453185","0.103471137116307","0.118505298125121","0.0909029275342623"
"3","shura","0.109712080446956","0.0874374148000837","0.131909325903331","0.0879962851675601","0.0881501704177891","0.102882272393375"
"5","glafira","0.0411226673063739","0.0522820781110517","0.0552528923099062","0.0560702772821944","0.0493503084394277","0.0517307849158146"
"7","varvara","0.106739032782811","0.0770012453993149","0.0842362032410356","0.080734767531345","0.15471196515746","0.0776746850306276"
"9","bulychov","0.232762682092492","0.124281832636459","0.205327488688642","0.135662460605035","0.260577001497409","0.186589282319504"
"11","donat","0.00380740802159577","0.0226628294946413","0.00152732260347611","0.0199404287041892","0","0.0114977446608834"
"13","zvontsov","0.122725185546787","0.0872920993352472","0.120497183494315","0.0937396608498197","0.159572486748293","0.137368263500181"
"15","bashkin","0.045378180402885","0.059662959710968","0.0533833143010247","0.0589215611712353","0.062929061784897","0.054593004969515"
"17","doktor","0.000418931904795518","0.0087557443264136","0.000101821506898407","0.00731879068162556","0","0.00586926286608654"
"19","laptev","0.000774330684869891","0.0112466009220641","0.000312936323401608","0.00983176905560933","0","0.00586926286608654"
"21","dostigaev","0.0295399100263626","0.0440078745481987","0.0138515088690052","0.0437561239662844","0","0.0363366981509887"
"23","pavlin","0.0281105801258457","0.0541867647736292","0.0296047628633999","0.0484357438310455","0.0302351623740202","0.0235507007094062"
"25","melanija","0.0341674349738605","0.0488701197427169","0.0212938402859202","0.0497883168101332","0.0296298726867043","0.0505643651573732"
"27","propotej","0.00813941500450861","0.0241846455104131","0.00191028371380131","0.0243663807448968","0","0.0203193151089216"
"29","taisja","0.00369526996301458","0.0214200066242088","0.00137853994031499","0.0190855774237629","0","0.0169614718111947"
"31","antonina","0.0217984892010326","0.0404314643562933","0.023881958889644","0.0350824623553462","0.0131578947368421","0.0279942487330783"
"33","aleksej","0.00138424387430554","0.0129913298502137","0.000401701817617401","0.0115195787038167","0","0.00802416364836435"
"35","tjatin","0.0413100975499933","0.052722423167449","0.0485968835564949","0.0502965378283863","0.0131578947368421","0.0390877221715477"
"37","trubach","0.000890736033097867","0.0148085218778242","0","0.0122408179306589","0","0"
"39","elizaveta","0.0232101461645222","0.0378063919364184","0.0164106637721357","0.0384017050433404","0.0200228832951945","0.0463039926441424"
"41","zobunova","0.000546777745099884","0.0089623052005049","0.000209620455961924","0.00766936750257821","0","0"
"43","mokrousov","0.000139344523362105","0.00758643327872839","4.47770104877709e-05","0.00567024969483002","0","0.0058798308086469"
