"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Baron","0.153429985855728","0.0700438794933645","0","0","0","0"
"3","Kvashnja","0.0193069306930693","0.0526125566564843","0","0","0","0"
"5","Bubnov","0.153429985855728","0.0700438794933645","0","0","0","0"
"7","Klesch","0.153429985855728","0.0700438794933645","0","0","0","0"
"9","Nastja","0.0193069306930693","0.0526125566564843","0","0","0","0"
"11","Anna","0","0.036498421783933","0","0","0","0"
"13","Satin","0.153429985855728","0.0700438794933645","0","0","0","0"
"15","Akter","0.153429985855728","0.0700438794933645","0","0","0","0"
"17","Kostylev","0","0.0565641205494709","0","0","0","0"
"19","Pepel","0","0.0565641205494709","0","0","0","0"
"21","Luka","0","0.0565641205494709","0","0","0","0"
"23","Natasha","0","0.0565641205494709","0","0","0","0"
"25","Aleshka","0.0193069306930693","0.0526125566564843","0","0","0","0"
"27","Vasilisa","0","0.0565641205494708","0","0","0","0"
"29","Medvedev","0.153429985855728","0.0700438794933645","0","0","0","0"
"31","Tatarin","0.0107496463932107","0.0512900142695363","0","0","0","0"
"33","KrivojZob","0.0107496463932107","0.0512900142695363","0","0","0","0"
