"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","lizanka","0.0428190507865834","0.0558974550834902","0.209496506821756","0.0629968285784737","0","0"
"3","sofija","0.108937219264821","0.065456607437192","0.233987769552623","0.0971962576998728","0.35658615136876","0.486128625472888"
"5","famusov","0.0538491936530607","0.0497902470704925","0.0529941593392491","0.0519186020746619","0.0527858293075684","0.0895334174022698"
"7","molchalin","0.0462317480809154","0.0484123563724741","0.0451382655488863","0.0516998523942471","0.0334943639291465","0"
"9","chatskij","0.114129803300899","0.070067011103061","0.293129131357246","0.0929944877944019","0.290466988727858","0.292559899117276"
"11","skalozub","0.0453072712780094","0.0469436638200166","0.0372447303123146","0.0483497813184978","0","0"
"13","grafinja_vnuchka","0.0425848317262054","0.0428973088546052","0.0130143750685833","0.0288954624014399","0.0222222222222222","0"
"15","zagoretskij","0.0580845358392285","0.0501849834760476","0.0125288050038407","0.0416609567443557","0.0222222222222222","0.0359394703656999"
"17","platon_mihajlovich","0.0467893630075809","0.0415176616379318","0.022629759683968","0.0368150394240308","0.0444444444444444","0.0479192938209332"
"19","hlestova","0.050479330825627","0.0490572997043539","0.00291342038845605","0.0418071307555165","0","0"
"21","gn","0.00139667792302049","0.0079716831224079","0.00961538461538462","0.00737965415483491","0.0222222222222222","0"
"23","natalja_dmitrievna","0.0368025168549434","0.0474264644970957","0.0192307692307692","0.0321064159073322","0.0444444444444444","0.0479192938209332"
"25","grafinja_babushka","0.00724757443870016","0.0264377636557194","0.00961538461538462","0.0193556650951597","0.0222222222222222","0"
"27","knjaz","0.0172524800292991","0.031483099050295","0","0.0106626748344123","0","0"
"29","knjaginja","0.0934792142443907","0.0523314050983281","0","0.0676485687696225","0","0"
"31","pervaja_knjazhna","0.0377862123824121","0.0400011682052115","0","0.0442618178347293","0","0"
"33","vtoraja_knjazhna","0.0377862123824121","0.0400011682052115","0","0.0442618178347293","0","0"
"35","tretja_knjazhna","0.0377862123824121","0.0400011682052115","0","0.0442618178347293","0","0"
"37","chetviortaja_knjazhna","0.0377862123824121","0.0400011682052115","0","0.0442618178347293","0","0"
"39","pjataja_knjazhna","0.0377862123824121","0.0400011682052115","0","0.0442618178347293","0","0"
"41","shestaja_knjazhna","0.0377862123824121","0.0400011682052115","0","0.0442618178347293","0","0"
"43","lakej_chatskogo","0.000518007763697075","0.00954618494374932","0","0.0104131597516951","0","0"
"45","sluga_2-3","0.000242363172772386","0.00627348042143776","0","0.00496471779348149","0","0"
"47","repetilov","0.00203758328629704","0.0223615903018332","0.00961538461538462","0.0133211294396777","0.0222222222222222","0"
"49","lakej_4-4","0.00046238535751557","0.00745774871695953","0","0.00686305390507553","0","0"
"51","lakej_4-2a","0.00143850714502888","0.00709109506593342","0.00961538461538462","0","0.0222222222222222","0"
"53","lakej_4-2b","0.00143850714502888","0.00709109506593342","0.00961538461538462","0","0.0222222222222222","0"
"55","lakej_4-1","0.000395864929729492","0.00632510314696542","0","0","0","0"
"57","gd","0.00135869565217391","0.0079716831224079","0.00961538461538462","0.00737965415483491","0.0222222222222222","0"
