"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Kadm","0.103772642054665","0.0844882531683095","0.111120538995815","0.0903755868544601","0.076056338028169","0.0898841568251642"
"3","Ehion","0.103772642054665","0.0844882531683095","0.111120538995815","0.0903755868544601","0.076056338028169","0.0898841568251642"
"5","Agava","0.0870615722924684","0.0782628029348551","0.0707263242375602","0.0774647887323944","0.0724346076458752","0.0776233828461907"
"7","Akteon","0.109919601522574","0.101385903801971","0.110466014611242","0.144366197183099","0.111468812877264","0.142591392091096"
"9","PervyjJunosha","0.0518139721740602","0.0613651523011932","0.0475446662966352","0.0563380281690141","0.0354124748490946","0.0559767749936582"
"11","VtorojJunosha","0.0518139721740602","0.0613651523011932","0.0475446662966352","0.0563380281690141","0.0354124748490946","0.0559767749936582"
"13","TretijJunosha","0.0518139721740602","0.0613651523011932","0.0475446662966352","0.0563380281690141","0.0354124748490946","0.0559767749936582"
"15","Krokale","0.0819765970904491","0.074483065293115","0.0921348314606742","0.0821596244131455","0.109859154929577","0.0828659206854759"
"17","Ranis","0.0819765970904491","0.074483065293115","0.0921348314606742","0.0821596244131455","0.109859154929577","0.0828659206854759"
"19","Hiale","0.0819765970904491","0.074483065293115","0.0921348314606742","0.0821596244131455","0.109859154929577","0.0828659206854759"
"21","Diana","0.0819765970904491","0.074483065293115","0.0921348314606742","0.0821596244131455","0.109859154929577","0.0828659206854759"
"23","PervyjPes","0.0272549019607843","0.044022826650856","0.0224719101123596","0.0176056338028169","0.028169014084507","0.0177569830040306"
"25","VtorojPes","0.0272549019607843","0.044022826650856","0.0224719101123596","0.0176056338028169","0.028169014084507","0.0177569830040306"
"27","TretijPes","0.0272549019607843","0.044022826650856","0.0224719101123596","0.0176056338028169","0.028169014084507","0.0177569830040306"
"29","Ohotnitsy","0.0303605313092979","0.0372785888979471","0.0179775280898876","0.0469483568075117","0.0338028169014084","0.0473519546774148"
