"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Dervish","0.148871232327595","0.092464170134073","0.203042155584528","0.114136732329085","0","0.152941176470588"
"3","Peri","0.148871232327595","0.092464170134073","0.203042155584528","0.114136732329085","0","0.152941176470588"
"5","Junosha","0.0771043184348078","0.0587567772033792","0.14767492394611","0.0485515643105446","0","0.152941176470588"
"7","Rab","0.019390784524531","0.0356967735608512","0.0398087787918296","0.0261877172653534","0","0.0549019607843137"
"9","Beduin","0.0771043184348078","0.0587567772033792","0.14767492394611","0.0485515643105446","0","0.152941176470588"
"11","Iskander","0.019390784524531","0.0356967735608512","0.0398087787918296","0.0261877172653534","0","0.0549019607843137"
"13","Kalif","0.019390784524531","0.0356967735608512","0.0398087787918296","0.0261877172653534","0","0.0549019607843137"
"15","Astrolog","0.0951493409605037","0.0706090026478376","0.0597131681877445","0.0853997682502897","0","0.0823529411764706"
"17","Staruha","0.0384292544234848","0.046960590649911","0","0.0475859405175743","0","0"
"19","Kadi","0.0384292544234848","0.046960590649911","0","0.0475859405175743","0","0"
"21","Shejh","0.0384292544234848","0.046960590649911","0","0.0475859405175743","0","0"
"23","Pirat","0.0384292544234848","0.046960590649911","0","0.0475859405175743","0","0"
"25","SynKalifa","0.0384292544234848","0.046960590649911","0","0.0475859405175743","0","0"
"27","Sindbad","0.0384292544234848","0.046960590649911","0","0.0475859405175743","0","0"
"29","Glashataj","0.0384292544234848","0.046960590649911","0","0.0475859405175743","0","0"
"31","PervyjJevnuh","0.0384292544234848","0.046960590649911","0","0.0475859405175743","0","0"
"33","VtorojJevnuh","0.0384292544234848","0.046960590649911","0","0.0475859405175743","0","0"
"35","Gafiz","0.016287971376578","0.0324044887151683","0.0398087787918296","0.0274623406720742","0","0.0470588235294118"
"37","Ptitsy","0.016287971376578","0.0324044887151683","0.0398087787918296","0.0274623406720742","0","0.0470588235294118"
"39","Angel","0.016287971376578","0.0324044887151683","0.0398087787918296","0.0274623406720742","0","0.0470588235294118"
