"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","pryamikov","0.0206420515493269","0.0383901554168051","0.0159603663760582","0.0371957867224474","0","0.019272401810037"
"3","dobrov","0.0175464974308167","0.0402509941830205","0.0076277515024359","0.0368061539022986","0","0"
"5","anna","0.0460751554432196","0.056554659712324","0.0304903558993497","0.0575044748854341","0","0"
"7","sofia","0.00649474319221877","0.022187364754173","0.00645425127129192","0.0209491706806582","0","0"
"9","krivosudov","0.184320855526157","0.126759287554859","0.256956989163027","0.12865842106017","0","0.199308147563607"
"11","pravolov","0.0619739046265066","0.0701369353068092","0.0101727877926546","0.0699711242480146","0","0.0377661636141989"
"13","khvataiko","0.0740953532220432","0.0768413558564661","0.0676603503118723","0.077179293435107","0","0.104375415488013"
"15","fyokla","0.0990271587980172","0.0882056336596776","0.0228518114389134","0.0880974027729195","0","0"
"17","bulbulkin","0.109675242313395","0.093689300933","0.175777767994038","0.0949766747444805","0","0.141212165021235"
"19","naumych","0.0420601085344308","0.0562978770231916","0.00375423374053355","0.0566600201313951","1","0.00549409846059142"
"21","parolkin","0.109675242313395","0.093689300933","0.175777767994038","0.0949766747444805","0","0.141212165021235"
"23","atuev","0.0883012503877809","0.0832797418961121","0.118767514296315","0.0836866012271482","0","0.128922585978447"
"25","radbyn","0.0759013309554722","0.0773218697313766","0.0883281269330019","0.0781044859858157","0","0.118984203030194"
"27","kokhtin","0.064139024472079","0.0715204458515043","0.0194199252864711","0.0718523440556663","0","0.10345265401244"
"29","arkhip","7.20812351401101e-05","0.00487507718768064","0","0.00338137140396369","0","0"
