"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","flink","0.0517964829176264","0.050314399110928","0.0220800887329952","0.0485814475360754","0.0578370414885763","0.0387113926084529"
"3","fabricius","0.0588279489362645","0.0563728008890447","0.0780068593696026","0.0634472772958075","0.0117596750053453","0.0715869412978508"
"5","rembrandt","0.279639081111681","0.112777727771535","0.277022596577701","0.136500747183765","0.352282391952384","0.19034421859137"
"7","saskiya","0.0373380144699011","0.0426794572256814","0.0509615278312255","0.0424360382504197","0.0113636363636364","0.0186683032506568"
"9","lyudvig","0.108296084873169","0.0664932211280709","0.0934210412090655","0.0732679747666147","0.118459665509627","0.0527498674275819"
"11","banning_kuk","0.054642190011842","0.054260639438302","0.101935575045081","0.0610493625345218","0.0767524648956921","0.0822037075447947"
"13","prodavec_krasok","0.000418164988916996","0.011871289763857","0.000774583814886763","0.00559004805464607","0","0.0068509928829063"
"15","lejtenant","0.0103826802297165","0.0194308950206921","0.01608524951871","0.0174475042035664","0.0377562028047465","0.0250498107815001"
"17","pervyj_strelok","0.0057350336857856","0.0131856357983316","0.00771057622552017","0.0130725958273253","0.0107874865156419","0.0203168681310072"
"19","vtoroj_strelok","0.0057350336857856","0.0131856357983316","0.00771057622552017","0.0130725958273253","0.0107874865156419","0.0203168681310072"
"21","strelki","0.0103826802297165","0.0194308950206921","0.01608524951871","0.0174475042035664","0.0377562028047465","0.0250498107815001"
"23","siks","0.0791717354250472","0.0582712250263131","0.0889447829208512","0.0632993743560114","0.128322950552659","0.0854929308799597"
"25","hendrike","0.0310235963077331","0.0412172733514669","0.0176923014749227","0.0416883514406122","0.0575225549261158","0.0297612888394737"
"27","sudebnyj_pristav","0.0275778277417962","0.0325766258999454","0.0194760941983269","0.0310179795041715","0","0.0151204165444077"
"29","pervyj_strazhnik","0.0124554891108365","0.0176693270495707","0","0.017584570717442","0","0"
"31","vtoroj_strazhnik","0.0124554891108365","0.0176693270495707","0","0.017584570717442","0","0"
"33","tretij_strazhnik","0.0212238133466941","0.0282995192282709","0.00413190124283898","0.0277595461714327","0","0.0107738365592612"
"35","chetvertyj_strazhnik","0.0124554891108365","0.0176693270495707","0","0.017584570717442","0","0"
"37","pyatyj_strazhnik","0.0124554891108365","0.0176693270495707","0","0.017584570717442","0","0"
"39","pervyj_gorozhanin","0.0124554891108365","0.0176693270495707","0","0.017584570717442","0","0"
"41","vtoroj_gorozhanin","0.0124554891108365","0.0176693270495707","0","0.017584570717442","0","0"
"43","pisec","0.00694569873915032","0.0195849824634337","0.00113934230906708","0.0169012754987712","0","0.00642725657411467"
"45","hozyain_gostinicy","0.00926640918760583","0.0134310764437021","0.01232917409388","0.0130040925984988","0","0.0162272319445469"
"47","magdalina_van_loo","0.00926640918760583","0.0134310764437021","0.01232917409388","0.0130040925984988","0","0.0162272319445469"
"49","pervyj_sosed","0.00926640918760583","0.0134310764437021","0.01232917409388","0.0130040925984988","0","0.0162272319445469"
"51","vtoroj_sosed","0.00926640918760583","0.0134310764437021","0.01232917409388","0.0130040925984988","0","0.0162272319445469"
"53","golosa","0.00926640918760583","0.0134310764437021","0.01232917409388","0.0130040925984988","0","0.0162272319445469"
"55","mortejra","0.0157160224009237","0.0265748750844174","0.0234260645300561","0.0197418583207036","0.0417078799868117","0.0394827290537473"
"57","byurger","0.000488426801764977","0.0087681420156784","0","0.00698552354465037","0","0"
"59","golos_s_ulicy","0.000725863860759643","0.0089058176378941","0.00112646068528421","0.00406035732155283","0","0"
"61","pushkar","0.00825297151669585","0.0243858660229754","0.0179750729872155","0.0177514428314932","0.0138888888888889","0.0161815249887118"
"63","doktor_tyulp","0.00160113157603475","0.0114585298563896","0.00157535543606636","0.0093061248099249","0.0077893175074184","0.010183560264982"
"65","pastor","0.000722753809360532","0.0127911654052706","0.00138127123539533","0.00796441587008945","0.0032071840923669","0.0116032356291938"
"67","princ","0.00285117579970388","0.013161404536687","0.00284090909090909","0.00608136731985275","0.0138888888888889","0"
"69","kreditor","0.00163077789561583","0.00834326595337889","0.00162337662337662","0.00647594199849667","0.00813008130081301","0"
"71","pervyj_kupec","0.00963497150587778","0.0120812276727463","0.0142045454545455","0.0130875763385762","0","0.0236647132524643"
"73","pervaya_dama","0.00963497150587778","0.0120812276727463","0.0142045454545455","0.0130875763385762","0","0.0236647132524643"
"75","vtoroj_kupec","0.00963497150587778","0.0120812276727463","0.0142045454545455","0.0130875763385762","0","0.0236647132524643"
"77","tretij_kupec","0.00963497150587778","0.0120812276727463","0.0142045454545455","0.0130875763385762","0","0.0236647132524643"
"79","vtoraya_dama","0.00963497150587778","0.0120812276727463","0.0142045454545455","0.0130875763385762","0","0.0236647132524643"
"81","tretya_dama","0.00963497150587778","0.0120812276727463","0.0142045454545455","0.0130875763385762","0","0.0236647132524643"
