"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","knjaz_ruksalon","0.0485335284548205","0.0585438974932286","0.0553027368034135","0.0637285970660117","0.0938284340094295","0.0654237234419493"
"3","knjaz_feodor","0.0319864289799659","0.051563979357936","0.0276326627236772","0.0470272757301604","0.0221121687676872","0.0471671579707099"
"5","knjaz_dimitrij","0.226069883891797","0.135743209158703","0.224924449940201","0.144402701071463","0.263081362776913","0.154143962230289"
"7","bojarin_ioann","0.00819312359339534","0.0286592974913292","0.00630915290291892","0.0264968546281346","0.0160535117056856","0.0255076368094561"
"9","knjaz_pozharskij","0.121227401047882","0.0975783312544049","0.132540456561206","0.10230201883922","0.0750553125803962","0.103407544369771"
"11","leon","0.174495571399727","0.117228673508377","0.182715383169232","0.120514167048484","0.0549727241787652","0.126378569577897"
"13","sofija","0.173062535435609","0.114310024043878","0.170325799080441","0.119400391204851","0.225272493947466","0.129096917700871"
"15","minin","0.0466521526640108","0.0553724953864614","0.0425908239611377","0.0570758835107989","0.0496563204648981","0.0592385369547981"
"17","odin_iz_voinov","0.0021094899388366","0.0147723103127898","0.00142075620009053","0.0128396750669591","0","0.0115344369644528"
"19","hotkeev","0.0228092726997845","0.0274245217347885","0.0212402908800503","0.0315088990876686","0.0364042933810376","0.0335625364837701"
"21","vjanko","0.0725774189002933","0.0761696511729848","0.0805728577706594","0.0803104926199205","0.095769334634215","0.0813590632187507"
"23","getman_zhelkovskij","0.0121200146328237","0.0317473045293646","0.012038876493553","0.0299538498943989","0.00892719320812966","0.0287855328168009"
"25","vestnik","0.00041246310944172","0.0122209279181019","0.000298974652838334","0.00963616600839369","0","0.00849165835592019"
"27","narod","0.00269943319947294","0.0162804764914606","0.00271978686590919","0.0158395957031823","0","0.0151734493925545"
"29","voenachalnik_polskij","0.0100147935523044","0.0193885230882798","0.00589066605916758","0.0183704256478326","0.012701252236136","0.0147768036783739"
"31","velmozha","0.0100147935523044","0.0193885230882798","0.00589066605916758","0.0183704256478326","0.012701252236136","0.0147768036783739"
"33","parfenija","0.017361571505042","0.0425458982834499","0.0150036925032341","0.0368245017973691","0.0153846153846154","0.0320466255519227"
"35","velmozhi","0.00820605678221653","0.0185650116129794","0.00457033032298191","0.0159800126739264","0.00769230769230769","0.0104571035525709"
"37","devitsy","0.00820605678221653","0.0185650116129794","0.00457033032298191","0.0159800126739264","0.00769230769230769","0.0104571035525709"
"39","nachalnik","0.000341348988114624","0.0130075547424991","0.000190726455878613","0.00968988386404464","0","0.00838066019610981"
"41","voin","0.000885619695610407","0.0134117691662729","0.000469013262369587","0.00957441106036229","0","0.00806919774018809"
"43","drugoj_voin","0.00202104119433049","0.0175126085514513","0.00278156700889133","0.0141737591550588","0.00269511510387423","0.0117649757619001"
