"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","snezini","0","0","0","0","0","0"
"3","smehini","0","0","0","0","0","0"
"5","nemini","0","0","0","0","0","0"
"7","slepini","0","0","0","0","0","0"
"9","berezomir","0","0","0","0","0","0"
"11","skazchich-morochich","0","0","0","0","0","0"
"13","molchaschie_sestry","0","0","0","0","0","0"
"15","njanja-leshij","0","0","0","0","0","0"
"17","dukhi","0","0","0","0","0","0"
"19","molodoj_rabochij","0","0","0","0","0","0"
"21","vtoroj_chelovek","0","0","0","0","0","0"
"23","nekij_glas","0","0","0","0","0","0"
"25","veschezhonka","0","0","0","0","0","0"
"27","starushka-dokladchitsa","0","0","0","0","0","0"
"29","bes","0","0","0","0","0","0"
"31","besenysh-besok","0","0","0","0","0","0"
"33","lipjanoe_byvmo","0","0","0","0","0","0"
"35","vselennichi","0","0","0","0","0","0"
"37","vse_1","0","0","0","0","0","0"
"39","moroznyj_tjatka","0","0","0","0","0","0"
"41","snezhak","0.0252100840336134","0.00563556668753914","0.333333333333333","0.019271948608137","0.333333333333333","0.333333333333333"
"43","drevoljud","0","0","0","0","0","0"
"45","snezhachiha","0","0","0","0","0","0"
"47","lipovyj_paren","0","0","0","0","0","0"
"49","snegchie","0","0","0","0","0","0"
"51","belyj_muzhik","0","0","0","0","0","0"
"53","belyj_bojarin","0","0","0","0","0","0"
"55","snezhnye_mamki","0","0","0","0","0","0"
"57","snegomuzhe","0","0","0","0","0","0"
"59","zajats","0","0","0","0","0","0"
"61","snegun","0","0","0","0","0","0"
"63","voron","0","0","0","0","0","0"
"65","rynda","0","0","0","0","0","0"
"67","pechalnyj_leshij-leshachonok","0.0168067226890756","0.00375704445835942","0.222222222222222","0.012847965738758","0.222222222222222","0.222222222222222"
"69","snegiri","0.0168067226890756","0.00375704445835942","0.222222222222222","0.012847965738758","0.222222222222222","0.222222222222222"
"71","leshachiha","0.0168067226890756","0.00375704445835942","0.222222222222222","0.012847965738758","0.222222222222222","0.222222222222222"
"73","hovun","0","0.0376748069296598","0","0","0","0"
"75","pervyj_sobesednik","0","0.0376748069296598","0","0","0","0"
"77","vtoroj_sobesednik","0","0.0376748069296598","0","0","0","0"
"79","snezhimochka","0","0.0376748069296598","0","0","0","0"
"81","slavodej","0","0.0376748069296598","0","0","0","0"
"83","zhenschina_s_vedrami","0","0.0376748069296598","0","0","0","0"
"85","pjanitsa","0","0.0376748069296598","0","0","0","0"
"87","zimnij_golos","0","0.0376748069296598","0","0","0","0"
"89","snegej","0","0.0376748069296598","0","0","0","0"
"91","prohozhie","0","0.0376748069296598","0","0","0","0"
"93","nischij","0","0.0376748069296598","0","0","0","0"
"95","malchiki","0","0.0376748069296598","0","0","0","0"
"97","uchenyj","0","0.0376748069296598","0","0","0","0"
"99","nekto_2a","0","0.0376748069296598","0","0","0","0"
"101","gorodovoj","0","0.0376748069296598","0","0","0","0"
"103","staruha","0","0.0376748069296598","0","0","0","0"
"105","pristav","0","0.0376748069296598","0","0","0","0"
"107","otstavshij_sputnik","0","0.0376748069296598","0","0","0","0"
"109","deti","0","0.0376748069296598","0","0","0","0"
"111","nekto_2b","0","0.0376748069296598","0","0","0","0"
"113","starets","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"115","rukovoditel_prazdnestva","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"117","vse_3","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"119","kto-to_iz_prisutstvujuschih","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"121","kto-to","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"123","rokot","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"125","rukovoditel_igry","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"127","golosa_mnogih","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"129","golos_udaljajuschihsja","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"131","golosa_udaljajuschihsja","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
"133","novye_golosa_udaljajuschihsja","0.0840336134453781","0.0208724692131079","0","0.0856531049250535","0","0"
