"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","prelestina","0.0625226027928464","0.0995082659587306","0.0501576169857565","0.073173162694586","0.128457330362331","0.0727028000266872"
"3","liza","0.1234984531702","0.123491613370339","0.135421359154247","0.113394127810867","0.178661572450951","0.114512903798167"
"5","vestina","0.0847419781868167","0.0749366477615543","0.0745825119070316","0.0834510036316076","0.0480716061843795","0.0877431320882954"
"7","svahina","0.0971811496883354","0.0890551466151804","0.100378933516127","0.0932853380257905","0.0523458129902319","0.0987872368887246"
"9","graf","0.2740515196621","0.156027512972125","0.289353395950868","0.183037520111837","0.37735183026516","0.187261704684948"
"11","chvanova","0.0890922564369801","0.0830819355617232","0.0879606475251166","0.0870193692510887","0.077880359451871","0.101475168501819"
"13","modestov","0.058756040926083","0.0986484855798238","0.08389510871814","0.0888286051021805","0.127780543200566","0.0839492306439686"
"15","sporkina","0.0561367719010681","0.0669723663569446","0.0493109279628592","0.069395570324361","0","0.0695599277040236"
"17","vzdorkina","0.0561367719010681","0.0669723663569446","0.0493109279628592","0.069395570324361","0","0.0695599277040236"
"19","gromova","0.0468442767837463","0.0516773259321829","0.0380299867594279","0.0565839866647401","0","0.047672289649929"
"21","ivanova","0.0468442767837463","0.0516773259321829","0.0380299867594279","0.0565839866647401","0","0.047672289649929"
"23","sluga","0.00419390176701","0.0379510076022686","0.00356859679813793","0.025851759393841","0.00945094509450945","0.0191033886594848"
