"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","prolaz","0.154662553954442","0.116161331940852","0.152637462027207","0.120774183305502","0.297389537477614","0.121845253550368"
"3","lentjagin","0.142144735637351","0.117592344327857","0.161894854807159","0.118241986660489","0.024390243902439","0.117370045106899"
"5","lentjagina","0.198408743697406","0.134813849206892","0.216264944364805","0.145803708685063","0.215486887224213","0.14955541240846"
"7","marina","0.0148541636803922","0.0484225150881985","0.0185420737963905","0.0401031774617279","0.0409196218160591","0.0355088238273086"
"9","vysonos","0.0152093684561175","0.0529511884678118","0.0168259838105471","0.0444599408490952","0.0130961475499291","0.0402448954490554"
"11","prijat","0.0367024292450451","0.0573669111271971","0.0295403907757379","0.0554428920367348","0.0438909500020856","0.0549672780008659"
"13","vetromah","0.146929510339337","0.109416085969797","0.154746674774807","0.11783974495132","0.239012650079244","0.122031337311049"
"15","major","0.0466769139343942","0.0538691992751745","0.0382067862675769","0.0568955003900053","0","0.0592971902429386"
"17","trusim","0.0657661983198554","0.072851713389693","0.0633574243342299","0.0713597712156706","0.0930735930735931","0.0726120351324738"
"19","sudja","0.040152569968245","0.0473994990804628","0.0282484715903479","0.0518224499876629","0","0.0536434608095128"
"21","ulinka","0.0181973633621693","0.0484225150881985","0.00868129791797673","0.0382108499500161","0.0327403688748227","0.0344993369870949"
"23","trompetin","0.0578899102658101","0.0614935877026482","0.0523061083367836","0.0626665830712392","0","0.064479833486628"
"25","svirelkin","0.0617722213181657","0.0668527549199751","0.0584462664552602","0.066572240538605","0","0.0676533763781779"
"27","lakej","0.000633317821268758","0.0123865044152425","0.000301260741171484","0.0098069708968692","0","0.00629172130916771"
