"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","polist","0.243902875845458","0.164912746342905","0.237558962708412","0.176796860379421","0.252663411907923","0.17866277092328"
"3","prostodum","0.0965095925005192","0.111050996943415","0.102853410576689","0.106626928509385","0.146499798201872","0.105949851229777"
"5","portnoj","0.00480373853839783","0.0321554775401187","0.00291153542258082","0.025025641804433","0","0.0236812048004679"
"7","verholet","0.114222026571337","0.121129244831676","0.126972168744262","0.112472721501865","0.0410592808551992","0.112694422783282"
"9","marina","0.116810601514895","0.12271403009583","0.122597108886603","0.116983374613933","0.160593848767641","0.116058956669838"
"11","chvankina","0.156206135677939","0.133127759328461","0.172384504892371","0.138302474428655","0.208113656847001","0.139082900834495"
"13","milena","0.0800706486873","0.0830348776946645","0.0658727848261143","0.0882407690486582","0.0897203853608483","0.0890760498075834"
"15","prikazchik","0.00688576954888195","0.0253338585847191","0.004198650305831","0.0256944296249811","0","0.0255176908932323"
"17","zamir","0.0749591785009819","0.0882865593180513","0.0671207207113467","0.0865050508627374","0","0.0852302510795111"
"19","cheston","0.101241152565522","0.0992267382085184","0.0948222069827195","0.103411874741177","0.101349618059514","0.104077700088936"
"21","blagochinnyj","0.00438828004876887","0.0190277111116407","0.00270794594306856","0.0199398744847549","0","0.0199682008895973"
