"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","mitrofan","0.00941380500466888","0.0342818661284841","0.00596569871375102","0.0325337023479296","0","0.031083827934603"
"3","havronia","0.120381197695421","0.113574284719279","0.114588272292745","0.11370388652762","0.0595790243619433","0.113192081814733"
"5","karpovich","0.0788642846578675","0.0832217947157968","0.0746221806725541","0.0883279061731346","0.0234865147472417","0.088496795308116"
"7","foma","0.0996279104660101","0.0977525842693486","0.0960146579890851","0.100245597407314","0.0523468859102396","0.101375717799537"
"9","marina","0.0662122468730485","0.0856616582680535","0.0520549436377902","0.07995760365871","0.08023607513133","0.0801449517260612"
"11","dobrovidov","0.19235746690794","0.155723294717895","0.212095749689328","0.156745212888502","0.173713276519399","0.156005911485354"
"13","graf","0.186342257814392","0.15780791301806","0.199672727568844","0.154141677439948","0.277907309392129","0.15539507736497"
"15","ostromyslov","0.109289492861146","0.108279172418423","0.115511877572614","0.115598943952198","0.16905325870495","0.115646966835317"
"17","malania","0.120079149319801","0.123784788510194","0.119399364174635","0.119781007838897","0.163677655232767","0.120043595759354"
"19","notarius","0.0174321883997059","0.0399126432344661","0.0100745276886545","0.0389644617657469","0","0.0386150739719559"
