"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","gusman","0.2127990100243","0.175768493599789","0.227254976529958","0.182082079971916","0.219529360762829","0.182722428428339"
"3","folet","0.241859060359773","0.182708332155526","0.257997246343532","0.187785555597621","0.223654408966598","0.191459377640645"
"5","tsimara","0.133220817819317","0.126355484009533","0.116123807305661","0.13806579803271","0.147802796137854","0.139632299406244"
"7","soreta","0.132762890208785","0.145830311848573","0.12789833642504","0.139959402705884","0.132867447117613","0.138614702162747"
"9","atsem","0.185912604807706","0.159288105258556","0.191599097881158","0.167714062370935","0.195008394518196","0.170814146332965"
"11","hor","0.0125474098137815","0.0447432938151581","0.00820891364882241","0.0431204009953468","0.00502883386398854","0.0412634317040616"
"13","elvira","0.0659668378442354","0.0938701031446036","0.0565740950950523","0.080936835316914","0.0653575685713873","0.0814331143956762"
"15","ferdinand","0.000702716852032406","0.0211098580792632","0.00141112906865241","0.0180512653500922","0.000650179960524788","0.0160879630086032"
"17","hor_zhenschin","0.00711432613503445","0.0251630090444992","0.00646619885106195","0.0211422998292905","0.00505050505050505","0.0189862684603593"
"19","hor_muzhchin","0.00711432613503445","0.0251630090444992","0.00646619885106195","0.0211422998292905","0.00505050505050505","0.0189862684603593"
