"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","lestov","0.105926148199922","0.135556820581436","0.104921646357879","0.119052207853902","0.0948375828839759","0.113104348486246"
"3","masha","0.348976097316384","0.175593224321089","0.363455927735866","0.214894560005339","0.328244360453767","0.224375602391502"
"5","sumburova","0.0977667088920811","0.113998676449481","0.0984770650322866","0.114467827139138","0.142872521510559","0.115311495435972"
"7","antrop","0.0144624810119948","0.0562261628602464","0.0160707601207967","0.0459370487892984","0.0235150496655349","0.045712638390587"
"9","liza","0.0596173204604942","0.0813384796838648","0.0590222973034124","0.0854312829669003","0.0832685370046984","0.087506616378497"
"11","sumburov","0.259442059299322","0.17719943259533","0.243262287136209","0.183558055338914","0.195129551164261","0.183916848071494"
"13","annushka","0.00415473080084714","0.0367316066766099","0.00394641808328886","0.0302212615015165","0.00245172594205896","0.0272918364290912"
"15","andrej","0.0017417822992242","0.024905274048189","0.00117445684694416","0.0209304632174674","0","0.0186861792158652"
"17","oficer","0.0164265643321154","0.0382696091451169","0.0130225395066299","0.0389183299203134","0.010920548697292","0.0391367748310929"
"19","trishe","0.0432623819578491","0.0786262686216398","0.0434037845040124","0.0725441301872709","0.0493853821002009","0.0704684979060866"
"21","kare","0.0482237254297662","0.0815544450169971","0.0532428173726748","0.0740448330799405","0.0693747405776516","0.0744891624635656"
