"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","ivan","0.0563375753758926","0.0748995986100574","0.0523389452169076","0.0737244542004682","0","0.0737348279753861"
"3","taratora","0.172592878172169","0.144436148385024","0.184869396350189","0.145553028751221","0","0.145097866609539"
"5","tyanislov","0.123558706490771","0.115514682489096","0.125492601743093","0.116481379372497","0","0.116726513447092"
"7","azbukin","0.079708520794382","0.0914249049322859","0.0756049422773883","0.0906182321304298","0","0.0907383784738303"
"9","rifmokrad","0.146341825715462","0.127762432331046","0.149947483156668","0.128357543563067","0","0.12845285571383"
"11","milon","0.0421855579911817","0.0594779675830876","0.0346675897926663","0.0586884615694394","0","0.0585268907491868"
"13","priyata","0.0395450467345567","0.0568096787253524","0.033447158558412","0.0564302284550869","0","0.0564847515223749"
"15","trojkina","0.101624017711417","0.101424876238433","0.0995847294911227","0.101873131880248","0","0.101885292073454"
"17","plutana","0.121770025476746","0.117769927099251","0.126874255501962","0.116687263012323","0","0.116856975277076"
"19","lancetin","0.116335845537421","0.110479783606367","0.117172897911592","0.11158627706522","0","0.11149564815823"
