"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","blez","0.141533393167206","0.120166270121319","0.109506415585856","0.132522220603235","0.114914861411368","0.134714649818256"
"3","muzhiki","0.0173712246593475","0.0361507228761754","0.0145264384936116","0.0345304908379265","0","0.0320919513568398"
"5","nineta","0.059610279636986","0.0740108546765558","0.056588269211665","0.0732161967974195","0.0248575750294107","0.0707353074517426"
"7","zhaneta","0.0614154315571206","0.0747345243082314","0.0640068301707927","0.0766604531043527","0.0284380847206367","0.07550474194736"
"9","hor","0.0173712246593475","0.0361507228761754","0.0145264384936116","0.0345304908379265","0","0.0320919513568398"
"11","zhuleta","0.185744045430948","0.155265354486633","0.199531205755744","0.161008305405799","0.197172721386547","0.164622477876822"
"13","rabotniki","0.0173712246593475","0.0361507228761754","0.0145264384936116","0.0345304908379265","0","0.0320919513568398"
"15","graf","0.21058179616584","0.167951908523416","0.215742945196023","0.167248664754028","0.227401113299118","0.171109441874704"
"17","paulin","0.134234902577347","0.147573375305205","0.135016823879568","0.134177774874766","0.204485104445509","0.135618393518526"
"19","filipp","0.15476647748651","0.151845543950114","0.176028194719517","0.15157491194662","0.202730539707411","0.151419133442071"
