"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","grunya","0.18214445236188","0.108035650493567","0.240391933282697","0.113331994468555","0.164865048313542","0.130292258940038"
"3","rezinkin","0.259091592128102","0.125169805794155","0.23306548647189","0.138099622432249","0.265692729486311","0.204606725630232"
"5","grivennichkin","0.0318734973763187","0.0423356732095058","0.00481865272796499","0.0413262570191698","0","0.0138446742996712"
"7","mamaev","0.0719587801426037","0.0724364280100577","0.138876959803319","0.0746212750507183","0.166134281581485","0.110070981848875"
"9","lipina","0.0218006030682344","0.0460809546675794","0.0279263080950816","0.0397862813751611","0.0575242145050791","0.0610167394918849"
"11","vanechka","0.00807190740095505","0.0194477629547905","0.012265718644956","0.0190755298215176","0.0121584699453552","0.032734056370721"
"13","krestyanka","0.00807190740095505","0.0194477629547905","0.012265718644956","0.0190755298215176","0.0121584699453552","0.032734056370721"
"15","podsnezhnikov","0.00291999140797882","0.0293913861256175","0.00392191238407265","0.0211532440598486","0","0.0266706444637675"
"17","raznesenskij","0.0503100231187279","0.056841473369538","0.0278751009316489","0.0562395260084698","0.0194938036850043","0.0418629794427931"
"19","poddevkina","0.0343816542301746","0.0425784987589312","0.0537181579419232","0.0433547291316667","0.0577908639373871","0.0633931094367172"
"21","rezinkina","0.0747893080294478","0.0825913070352235","0.15489462723319","0.0814844864055812","0.171151196562295","0.105053863981169"
"23","muha","0.0430870320104589","0.0523103913431624","0.0213462437504598","0.0537023146668562","0","0.0377514774241823"
"25","lososinin","0.027400714084811","0.0322263684810063","0.00027292576419214","0.0331463761523089","0","0"
"27","dvorovyj_chelovek","0.027400714084811","0.0322263684810063","0.00027292576419214","0.0331463761523089","0","0"
"29","polovoj","0.027400714084811","0.0322263684810063","0.00027292576419214","0.0331463761523089","0","0"
"31","vse_2-1","0.027400714084811","0.0322263684810063","0.00027292576419214","0.0331463761523089","0","0"
"33","muzykant","0.027400714084811","0.0322263684810063","0.00027292576419214","0.0331463761523089","0","0"
"35","odin_iz_cygan","0.027400714084811","0.0322263684810063","0.00027292576419214","0.0331463761523089","0","0"
"37","praskovya_stepanovna","0.0322268631167325","0.0410083218190981","0.0494437531369568","0.0420343721821169","0.0527565256525653","0.0579833660167577"
"39","vse_3-3","0.00756851796555668","0.0239735042432756","0.00873611769230992","0.0233180199703056","0.0094250650230586","0.0277023855867918"
"41","slesar","0.00487313512979472","0.0289307771533203","0.00516182633543775","0.022195373250037","0.00572289156626506","0.0344467526986564"
"43","kuharka","0.00242645060321246","0.0160620911813499","0.00365392833798348","0.012323187422376","0.00512643979629751","0.0198359279970215"
