"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","PervyjjPonter_VyhodPervyj","0.00935416858375029","0.0146892561481842","0.0287769784172662","0.00892117011146927","0","0.0264023377069845"
"3","Bankomet","0.00935416858375029","0.0146892561481842","0.0287769784172662","0.00892117011146927","0","0.0264023377069845"
"5","VtorojjPonter_VyhodPervyj","0.00935416858375029","0.0146892561481842","0.0287769784172662","0.00892117011146927","0","0.0264023377069845"
"7","TretijjPonter_VyhodPervyj","0.00935416858375029","0.0146892561481842","0.0287769784172662","0.00892117011146927","0","0.0264023377069845"
"9","ChetvertyjjPonter_VyhodPervyj","0.00935416858375029","0.0146892561481842","0.0287769784172662","0.00892117011146927","0","0.0264023377069845"
"11","KnjazZvezdich","0.12084873104471","0.0706637316934517","0.158044871912373","0.0986439799304649","0.143214910712825","0.139190151508951"
"13","Shprih","0.0548690687817055","0.0460634182977892","0.105995130987841","0.0593974692153806","0.04788773858005","0.0989760254070115"
"15","Arbenin","0.170940501913365","0.075366960635841","0.187196603026214","0.0812895161979974","0.178868378409364","0.145795647084824"
"17","Kazarin","0.0659741021844704","0.047687972387748","0.012589928057554","0.0423124991633637","0.0397132894227044","0.0206268263335816"
"19","Igroki_VyhodVtoroj","0.0163466976360485","0.0210523960658606","0.00302773913672429","0.0205804225674185","0","0.00933118334138216"
"21","PervyjjPonter_VyhodVtoroj","0.0163466976360485","0.0210523960658606","0.00302773913672429","0.0205804225674185","0","0.00933118334138216"
"23","PervyjjIgrok_VyhodVtoroj","0.0163466976360485","0.0210523960658606","0.00302773913672429","0.0205804225674185","0","0.00933118334138216"
"25","VtorojjIgrok_VyhodVtoroj","0.0163466976360485","0.0210523960658606","0.00302773913672429","0.0205804225674185","0","0.00933118334138216"
"27","TretijjPonter_VyhodVtoroj","0.0163466976360485","0.0210523960658606","0.00302773913672429","0.0205804225674185","0","0.00933118334138216"
"29","ChetvertyjjPonter_VyhodVtoroj","0.0163466976360485","0.0210523960658606","0.00302773913672429","0.0205804225674185","0","0.00933118334138216"
"31","PjatyjjPonter_VyhodVtoroj","0.0163466976360485","0.0210523960658606","0.00302773913672429","0.0205804225674185","0","0.00933118334138216"
"33","ZhenskajaMaska","0.00180980916567797","0.013062646965535","0","0","0","0"
"35","Baronessa","0.0335247226879787","0.0328883230312466","0.00719424460431655","0.0202369176914747","0.0112359550561798","0"
"37","Nina","0.107873097462016","0.0636809735870882","0.0803806562046165","0.0716879741100209","0.163265205773367","0.0949979946141065"
"39","Chinovnik","0.000421118020210574","0.0120900889131834","0.00367589140366539","0.00841835862639204","0.00147195917766547","0"
"41","Hozjain_N","0.00380386087813302","0.0202423813188267","0.00780483866355595","0.016776313496821","0","0.016697907031947"
"43","Hozjajka","0.0288599927565266","0.0283409891287654","0.0215827338129496","0.0343305742682433","0.0337078651685393","0.0220019480891537"
"45","PervyjjGost_Bal","0.0179052842570417","0.020979731173834","0","0.0236968581085902","0","0"
"47","VtorojjGost_Bal","0.0179052842570417","0.020979731173834","0","0.0236968581085902","0","0"
"49","Mnogie","0.0179052842570417","0.020979731173834","0","0.0236968581085902","0","0"
"51","Dama_Bal","0.0179052842570417","0.020979731173834","0","0.0236968581085902","0","0"
"53","TretijjGost_Bal","0.0179052842570417","0.020979731173834","0","0.0236968581085902","0","0"
"55","ChetvertyjjGost_Bal","0.0179052842570417","0.020979731173834","0","0.0236968581085902","0","0"
"57","PjatyjjGost_Bal","0.0179052842570417","0.020979731173834","0","0.0236968581085902","0","0"
"59","ShestojjGost_Bal","0.0179052842570417","0.020979731173834","0","0.0236968581085902","0","0"
"61","Maska_Neizvestnyj","0.0253984607002959","0.0301334635372812","0.0295763389288569","0.0250891314946622","0.0468164794007491","0.0297943047040623"
"63","Doktor","0.00339091990810671","0.0111516717978836","0.0105777610690545","0.00944666066243007","0.0178571428571429","0.0156420099696327"
"65","PervyjjIgrok_VyhodTretij","0.00709273818146861","0.0096833976629331","0.0215827338129496","0.00669087758360195","0.0337078651685393","0.0220019480891537"
"67","VtorojjIgrok_VyhodTretij","0.00709273818146861","0.0096833976629331","0.0215827338129496","0.00669087758360195","0.0337078651685393","0.0220019480891537"
"69","Sluga_VyhodTretij","0.00709273818146861","0.0096833976629331","0.0215827338129496","0.00669087758360195","0.0337078651685393","0.0220019480891537"
"71","Hozjain","0.00709273818146861","0.0096833976629331","0.0215827338129496","0.00669087758360195","0.0337078651685393","0.0220019480891537"
"73","Sluga_Arbenina","0.00437991015683692","0.0214061109214224","0.00322958841250591","0.0186372138247603","0","0.00884006842867784"
"75","Ivan","0.000284460808007456","0.00728402717343987","0","0.00599501746454018","0","0"
"77","Gost","0.0065844359109333","0.0136494964911195","0.01946376390574","0.0148780203675712","0.0285413322632424","0.0224603220076778"
"79","VtorojjGost","0.0065844359109333","0.0136494964911195","0.01946376390574","0.0148780203675712","0.0285413322632424","0.0224603220076778"
"81","TretijjGost","0.0065844359109333","0.0136494964911195","0.01946376390574","0.0148780203675712","0.0285413322632424","0.0224603220076778"
"83","Sluzhanka","0.000889769971953141","0.00952161386442246","0","0.00928569460945155","0","0"
"85","Dama_drugoj","0.00606271314342008","0.0119273686354059","0.0143884892086331","0.0141384615605875","0.0224719101123595","0.0146679653927692"
"87","Petkov","0.00606271314342008","0.0119273686354059","0.0143884892086331","0.0141384615605875","0.0224719101123595","0.0146679653927692"
"89","Dama","0.00606271314342008","0.0119273686354059","0.0143884892086331","0.0141384615605875","0.0224719101123595","0.0146679653927692"
"91","Dama_ma_tante","0.00224215246636771","0","0.00719424460431655","0","0.0112359550561798","0"
"93","Plemjannitsa","0.00224215246636771","0","0.00719424460431655","0","0.0112359550561798","0"
"95","Starik","0.00149476831091181","0.00630053812214969","0.00479616306954436","0.00639604972711552","0.00561797752808989","0.0107144903454993"
