"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","pavel_grigorich","0.013661258913288","0.0184205613292675","0.0165074124630964","0.00853608336763655","0.0135135135135135","0.0218697765195799"
"3","vladimir","0.0803765268147527","0.0560084635011513","0.138484998715619","0.0683753276859415","0.105401935953926","0.124812800123673"
"5","belinskoj","0.0354323091901771","0.0340184739027231","0.0453648789743427","0.0200186320601426","0.038892551087673","0.0543773369791012"
"7","poverennyj","0.000809061488673139","0.00995706017798245","0.00305810397553517","0.00582793509110211","0.00791034937376401","0.0142465144590769"
"9","anna_nikolavna","0.0779815689051092","0.0500520078589654","0.0792376924899691","0.0504365535021773","0.0405405405405405","0.0740876723446603"
"11","gost_2a","0.0214073728640365","0.0280486829120845","0","0.0228784366401629","0","0"
"13","natalya_fedorovna","0.0214073728640365","0.0280486829120845","0","0.0228784366401629","0","0"
"15","odna_iz_baryshen","0.0214073728640365","0.0280486829120845","0","0.0228784366401629","0","0"
"17","drugaya_baryshnya","0.0214073728640365","0.0280486829120845","0","0.0228784366401629","0","0"
"19","gost_2b","0.0214073728640365","0.0280486829120845","0","0.0228784366401629","0","0"
"21","gost_2c","0.0214073728640365","0.0280486829120845","0","0.0228784366401629","0","0"
"23","odna_iz_dam","0.0214073728640365","0.0280486829120845","0","0.0228784366401629","0","0"
"25","gost_2d","0.0214073728640365","0.0280486829120845","0","0.0228784366401629","0","0"
"27","knyazhna_sofya","0.0843049708621857","0.0519722980361477","0.10327852374305","0.053556340316745","0.0405405405405405","0.083363124281394"
"29","mnogie_2","0.0214073728640365","0.0280486829120845","0","0.0228784366401629","0","0"
"31","sluga_5","0.0035949065822307","0.0128763902100762","0.0147614361448843","0.00775613666399463","0.0135135135135135","0.021579918646557"
"33","muzhik","0.0035949065822307","0.0128763902100762","0.0147614361448843","0.00775613666399463","0.0135135135135135","0.021579918646557"
"35","annushka","0.0105177993527508","0.0125293007239612","0.0397553516819572","0.00935936044370301","0.05049786628734","0.0255074928260176"
"37","marya_dmitrevna","0.0105177993527508","0.0125293007239612","0.0397553516819572","0.00935936044370301","0.05049786628734","0.0255074928260176"
"39","ivan","0","0.00838052564980189","0","0","0","0"
"41","gost_12a","0.00832381022122414","0.019794102219891","0.0224661350191243","0.0119591827891761","0","0.0332756838230321"
"43","natasha","0.0368546688143125","0.0365299645279731","0.0535538554331609","0.0184587386528587","0.0405405405405405","0.055536768471193"
"45","gost_12b","0.00832381022122414","0.019794102219891","0.0224661350191243","0.0119591827891761","0","0.0332756838230321"
"47","pervaya_staruha","0.00788504455138446","0.0162535672057111","0.0233857504014755","0.0100959767749204","0.027027027027027","0.0299390976402349"
"49","vtoraya_staruha","0.00788504455138446","0.0162535672057111","0.0233857504014755","0.0100959767749204","0.027027027027027","0.0299390976402349"
"51","sluga_9","0.00788504455138446","0.0162535672057111","0.0233857504014755","0.0100959767749204","0.027027027027027","0.0299390976402349"
"53","doktor","0.00161812297734628","0.00701142987532931","0.00611620795107034","0.00623957362913534","0.0170697012802276","0.0185509038734674"
"55","snegin","0.0121359223300971","0.00933474391685855","0.0458715596330275","0.0129991117273653","0.0675675675675676","0.0434786809534392"
"57","chelaev","0.0121359223300971","0.00933474391685855","0.0458715596330275","0.0129991117273653","0.0675675675675676","0.0434786809534392"
"59","zaruckoj","0.0121359223300971","0.00933474391685855","0.0458715596330275","0.0129991117273653","0.0675675675675676","0.0434786809534392"
"61","ryabinov","0.0121359223300971","0.00933474391685855","0.0458715596330275","0.0129991117273653","0.0675675675675676","0.0434786809534392"
"63","vyshnevskoj","0.0121359223300971","0.00933474391685855","0.0458715596330275","0.0129991117273653","0.0675675675675676","0.0434786809534392"
"65","mnogie_golosa_4","0.0121359223300971","0.00933474391685855","0.0458715596330275","0.0129991117273653","0.0675675675675676","0.0434786809534392"
"67","sluga_10a","0.00485436893203884","0.00298711805339474","0.018348623853211","0.00623957362913534","0.027027027027027","0.0139131779051005"
"69","sluga_10b","0.00485436893203884","0.00298711805339474","0.018348623853211","0.00623957362913534","0.027027027027027","0.0139131779051005"
"71","sluga_10c","0.00485436893203884","0.00298711805339474","0.018348623853211","0.00623957362913534","0.027027027027027","0.0139131779051005"
"73","gost_13a","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"75","graf_n","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"77","dama_13a","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"79","gost_13b","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"81","dama_13b","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"83","gost_13c","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"85","mnogie_nekotorye_13","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"87","gost_13d","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"89","gost_13e","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"91","sluga_13","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"93","dama_13c","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
"95","odna_staruha","0.0266990291262136","0.0225900802787977","0","0.031457850380224","0","0"
