"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","tamira","0.186149172311608","0.141412208149834","0.180470267393124","0.146538204258967","0.14883075557309","0.149808989465739"
"3","kleona","0.137887223897911","0.137662464479967","0.144088060973241","0.136528337256546","0.14259779106483","0.133607988303383"
"5","mumet","0.1270173225352","0.119757438456356","0.123372338762525","0.12435667544772","0.149649829531798","0.125372781099739"
"7","selim","0.108764684016695","0.108953489507553","0.123341221935059","0.114074030556998","0.148458831934646","0.115486930376143"
"9","mamaj","0.0708554742342676","0.0939623267940668","0.0691987061108221","0.0922814405556498","0.0531330412599823","0.0924581323454895"
"11","nadir","0.20654735730065","0.156536174284961","0.200544711299243","0.159478931479743","0.222284924924497","0.162983872732914"
"13","vestnik_5-3","0.00306842908655261","0.0311756032302479","0.00209601894599784","0.0265936410574115","0","0.0233866850255589"
"15","narsim","0.025060306397422","0.0599490269219878","0.022859770403842","0.0574924462021387","0.00690524193548387","0.0561577147963795"
"17","zaisan","0.13341268488786","0.125053951390042","0.133223731552014","0.122546968400224","0.128139583775673","0.124653664974568"
"19","vestnik_2-6","0.00123734533183352","0.0255373167849854","0.00080517262413078","0.0201093247846016","0","0.0160832408800856"
