"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","velosipedkin","0.133277721989243","0.0792427532413549","0.157016551101219","0.0824094464076773","0.17961557743141","0.152179304952232"
"3","chudakov","0.133461874377428","0.0817414668037317","0.147938675842865","0.0830772413419516","0.143058973657825","0.0953801082086632"
"5","foskin","0.0380457651552887","0.0550533526800014","0.102070108211358","0.0545342228105535","0.10057576033786","0.0677542969073555"
"7","mezaljansova","0.0757756544343125","0.0622747128597217","0.0599435408176999","0.0670275036774717","0.042688679245283","0.0677995202205281"
"9","ivan_ivanovich","0.0798809255316869","0.0681836405992068","0.0927361424023847","0.0696019041498112","0.0839622641509434","0.0752600896363656"
"11","momentalnikov","0.0118880456301821","0.0323182245136263","0.00853233455191355","0.0322155626925392","0.0165094339622642","0.0300724316222592"
"13","pont_kich","0.0251583523903694","0.0370492659277737","0.00895674808311537","0.0384821988769359","0","0.0275814130913261"
"15","polja","0.0239079109850889","0.0395821550290521","0.0127638435324361","0.0373727327314267","0","0.0188418825865272"
"17","preddomkoma","0.000853004457948437","0.00997019740097091","0.00120670458372274","0.00908980239741662","0","0.0126898950970328"
"19","optimistenko","0.102165489075618","0.085496188762251","0.0829114234224077","0.0845694706540477","0.060377358490566","0.0575471766529206"
"21","kapeldiner","0.00231059468036794","0.0163314578939317","0.002179798085578","0.0143220961616601","0.0117924528301887","0.00587046532303035"
"23","pobedonosikov","0.172805949840653","0.0959120061374681","0.118965669329841","0.0994747873705735","0.0990566037735849","0.118805408336083"
"25","rezhisser","0.00819845669995518","0.02631355939201","0.00551605749894746","0.0241676201959846","0.0188679245283019","0.0117448677468437"
"27","dvojkin","0.0157032471420703","0.034763404043925","0.0206043892169042","0.033877921913773","0.0560568772217665","0.043233044680296"
"29","trojkin","0.00692932561622659","0.0223427287572954","0.00979268741007649","0.0209638332700258","0.0317959468902865","0.0279841636359369"
"31","fosforicheskaja_zhenschina","0.0684786967256906","0.0669436878253672","0.0993341691749794","0.0710982885517131","0.072623279555191","0.0815935067218516"
"33","passazhiry","0.00228095822741581","0.0155346173590452","0.00192843095634264","0.014128745880775","0","0.0172617100504903"
"35","underton","0.031970888498843","0.0422993779654352","0.0283276929303218","0.0393667452366203","0.0226415094339623","0.0223391732076102"
"37","golosa","0.0110163976349882","0.0217610259157317","0.0039354106475998","0.0226348637508798","0","0.0112666529391596"
"39","nochkin","0.0320625635194448","0.0390576713671616","0.0212558123551649","0.0405401351996146","0.0226415094339623","0.0326534042354203"
"41","militsioner","0.0110163976349882","0.0217610259157317","0.0039354106475998","0.0226348637508798","0","0.0112666529391596"
"43","belvedonskij","0.00796863705327209","0.0263270919879509","0.00348173253085644","0.0218684252228392","0","0.0108748312089077"
"45","prositel","0.00242157134945919","0.00987019381062794","0.00333333333333333","0.00827079387741485","0.0188679245283019","0"
"47","prositelnitsa","0.00242157134945919","0.00987019381062794","0.00333333333333333","0.00827079387741485","0.0188679245283019","0"
