"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","pugovichnyj_raznoschik","0","0.0135412971092237","0","0","0","0"
"3","raznoschik_kukol","0","0.0135412971092237","0","0","0","0"
"5","raznoschica_yablok","0","0.0135412971092237","0","0","0","0"
"7","raznoschik_tochilnyh_kamnej","0","0.0135412971092237","0","0","0","0"
"9","raznoschik_abazhurov","0","0.0135412971092237","0","0","0","0"
"11","prodavec_sharov","0","0.0135412971092237","0","0","0","0"
"13","raznoschik_seledok","0","0.0135412971092237","0","0","0","0"
"15","raznoschica_galanterei","0","0.0135412971092237","0","0","0","0"
"17","prodavec_kleya","0","0.0135412971092237","0","0","0","0"
"19","raznoschica_duhov","0","0.0135412971092237","0","0","0","0"
"21","prodavec_knig","0","0.0135412971092237","0","0","0","0"
"23","prisypkin-skripkin","0.0832645186185607","0.0417010399613594","0.087719298245614","0.0683229813664596","0.0303030303030303","0.0836940836940837"
"25","rozaliya_pavlovna","0.0253521126760563","0.0220302541985287","0","0.0256211180124224","0","0"
"27","bayan","0.0507042253521127","0.0312629567729995","0","0.0535714285714286","0","0"
"29","raznoschik_igrushek","0","0.0135412971092237","0","0","0","0"
"31","prodavec_seldej","0","0.0135412971092237","0","0","0","0"
"33","zoya_berezkina","0.0320470769824426","0.0218507294262474","0.087719298245614","0.0147515527950311","0.0303030303030303","0.0836940836940837"
"35","milicioner","0","0.0135412971092237","0","0","0","0"
"37","bosoj_paren","0.0225352112676056","0.00820684673286286","0","0.0248447204968944","0","0"
"39","uborschik","0.0225352112676056","0.00820684673286286","0","0.0248447204968944","0","0"
"41","molodoj_rabochij","0.0225352112676056","0.00820684673286286","0","0.0248447204968944","0","0"
"43","devushka_2","0.0225352112676056","0.00820684673286286","0","0.0248447204968944","0","0"
"45","izobretatel","0.0225352112676056","0.00820684673286286","0","0.0248447204968944","0","0"
"47","paren_s_knigoj","0.0225352112676056","0.00820684673286286","0","0.0248447204968944","0","0"
"49","slesar","0.0225352112676056","0.00820684673286286","0","0.0248447204968944","0","0"
"51","golosa_2","0.0225352112676056","0.00820684673286286","0","0.0248447204968944","0","0"
"53","golos","0.0225352112676056","0.00820684673286286","0","0.0248447204968944","0","0"
"55","elzevira","0.0225352112676056","0.00677064855461186","0","0.0227743271221532","0","0"
"57","gost","0.0225352112676056","0.00677064855461186","0","0.0227743271221532","0","0"
"59","vse_3","0.0225352112676056","0.00677064855461186","0","0.0227743271221532","0","0"
"61","buhgalter","0.0225352112676056","0.00677064855461186","0","0.0227743271221532","0","0"
"63","golosa_3","0.0225352112676056","0.00677064855461186","0","0.0227743271221532","0","0"
"65","shafer","0.0225352112676056","0.00677064855461186","0","0.0227743271221532","0","0"
"67","parikmaher","0.0225352112676056","0.00677064855461186","0","0.0227743271221532","0","0"
"69","posazhennaya","0.0225352112676056","0.00677064855461186","0","0.0227743271221532","0","0"
"71","kriki","0.0225352112676056","0.00677064855461186","0","0.0227743271221532","0","0"
"73","professor","0.0394366197183099","0.0189013938816248","0.087719298245614","0.0427018633540373","0.0303030303030303","0.0836940836940837"
"75","shestoj_vrach","0.0101003279953695","0.007963205970481","0.0526315789473684","0.0093167701863354","0","0.051948051948052"
"77","pervyj_vrach","0.0101003279953695","0.007963205970481","0.0526315789473684","0.0093167701863354","0","0.051948051948052"
