"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","nechistyj","0.5","0","0.5","0","0.5","0"
"3","iz-za_sceny","0.5","0","0.5","0","0.5","0"
"5","ohotnik","0","0.0446927374301676","0","0","0","0"
"7","rybak","0","0","0","0","0","0"
"9","nemec","0","0","0","0","0","0"
"11","avstraliec","0","0","0","0","0","0"
"13","avstralijka","0","0","0","0","0","0"
"15","anglichanin","0","0","0","0","0","0"
"17","francuz","0","0","0","0","0","0"
"19","kupec","0","0","0","0","0","0"
"21","nechistye","0","0.0813159528243327","0","0","0","0"
"23","chistye","0","0","0","0","0","0"
"25","negus","0","0","0","0","0","0"
"27","kitaec","0","0","0","0","0","0"
"29","pers","0","0","0","0","0","0"
"31","radzha","0","0","0","0","0","0"
"33","pasha","0","0","0","0","0","0"
"35","dama","0","0","0","0","0","0"
"37","golos_iz_tolpy_chistyh","0","0","0","0","0","0"
"39","soglashatel","0","0.0813159528243327","0","0","0","0"
"41","kuznec","0","0.0813159528243327","0","0","0","0"
"43","prachka","0","0.0813159528243327","0","0","0","0"
"45","krasnoarmeec","0","0.0813159528243327","0","0","0","0"
"47","pop","0","0","0","0","0","0"
"49","diplomat","0","0","0","0","0","0"
"51","intelligenciya","0","0","0","0","0","0"
"53","plotnik","0","0","0","0","0","0"
"55","amerikanec","0","0","0","0","0","0"
"57","batrak","0","0.0813159528243327","0","0","0","0"
"59","shveya","0","0.0813159528243327","0","0","0","0"
"61","fonarschik","0","0.0446927374301676","0","0","0","0"
"63","shofer","0","0","0","0","0","0"
"65","bulochnik","0","0","0","0","0","0"
"67","sapozhnik","0","0.0813159528243327","0","0","0","0"
"69","sluga","0","0","0","0","0","0"
"71","shahter","0","0.0813159528243327","0","0","0","0"
"73","golos","0","0","0","0","0","0"
"75","trubochist","0","0","0","0","0","0"
"77","chelovek","0","0","0","0","0","0"
"79","mafusail","0","0","0","0","0","0"
"81","svyatye","0","0","0","0","0","0"
"83","angel","0","0","0","0","0","0"
"85","angelskij_golos","0","0","0","0","0","0"
"87","angely","0","0","0","0","0","0"
"89","odin_iz_angelov","0","0","0","0","0","0"
"91","vtoroj_angel","0","0","0","0","0","0"
"93","savaof","0","0","0","0","0","0"
"95","mashinist","0","0.0446927374301676","0","0","0","0"
"97","parovoz","0","0.0335195530726257","0","0","0","0"
"99","parohod","0","0.0335195530726257","0","0","0","0"
"101","razruha","0","0.0335195530726257","0","0","0","0"
"103","vojsko","0","0.0335195530726257","0","0","0","0"
"105","veschi","0","0","0","0","0","0"
"107","mashiny","0","0","0","0","0","0"
"109","edy","0","0","0","0","0","0"
"111","pila","0","0","0","0","0","0"
"113","molot","0","0","0","0","0","0"
"115","cherti","0","0","0","0","0","0"
"117","pervyj_vestovoj","0","0","0","0","0","0"
"119","vtoroj_vestovoj","0","0","0","0","0","0"
"121","chert-ceremonijmejster","0","0","0","0","0","0"
"123","velzevul","0","0","0","0","0","0"
"125","golos_iz_tolpy_chertej_3a","0","0","0","0","0","0"
"127","golos_iz_tolpy_chertej_3b","0","0","0","0","0","0"
"129","golos_iz_tolpy_chertej_3c","0","0","0","0","0","0"
