"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","aleksej","0.0624550752395619","0.065417311415123","0","0.0689014402711099","0","0"
"3","akulina","0.0663977703580976","0.0642091769017112","0","0.0681615362891838","0","0"
"5","vanjushin","0.0949258025383975","0.0835684641929907","0","0.0887545890991245","0","0"
"7","arina_ivanovna","0.0949258025383975","0.0835684641929907","0","0.0887545890991245","0","0"
"9","konstantin","0.0949258025383975","0.0835684641929907","0","0.0887545890991245","0","0"
"11","lena","0.0624550752395619","0.065417311415123","0","0.0689014402711099","0","0"
"13","avdotja","0.0663977703580976","0.0642091769017112","0","0.0681615362891838","0","0"
"15","katja","0.0949258025383975","0.0835684641929907","0","0.0887545890991245","0","0"
"17","anja","0.0949258025383975","0.0835684641929907","0","0.0887545890991245","0","0"
"19","schetkin","0.0624550752395619","0.065417311415123","0","0.0689014402711099","0","0"
"21","klavdija","0.0949258025383975","0.0835684641929907","0","0.0887545890991245","0","0"
"23","ljudmila","0.0624550752395619","0.065417311415123","0","0.0689014402711099","0","0"
"25","krasavin","0.0299315429449754","0.0437349873424278","0","0.0428692459757131","0","0"
"27","inna","0.00596593338339913","0.0215888760119044","0","0.00422479525557752","0","0"
"29","kukarnikova","0.00596593338339913","0.0215888760119044","0","0.00422479525557752","0","0"
"31","starik_v_lohmotjah","0.00596593338339913","0.0215888760119044","0","0.00422479525557752","0","0"
