"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","anna_petrovna","0.113830859692253","0.0923281258367065","0.202224803300222","0.103708458463948","0.24216723243357","0.115259033093464"
"3","marja_andreevna","0.280669891598928","0.112234607370573","0.298858356516366","0.145534690044728","0.324277382829711","0.168828632749756"
"5","darja","0.0762077434663963","0.0852034523614739","0.0670696834062578","0.0830335472751994","0.0770252423593853","0.0844375525970633"
"7","malchik","0.000438187875527433","0.0114433506106698","0.00120079227836758","0.0109633927954123","0","0.0128977515186126"
"9","karpovna","0.00808602152132662","0.0233179894104425","0.0120787307694234","0.0199668852840156","0.0313158687142427","0.0226243803451129"
"11","pankratevna","0.0067904597876878","0.0232743929051414","0.00665654981390203","0.0152276423484001","0.0308641975308642","0.0163649628396157"
"13","horkova","0.00798164154584292","0.0279888866860892","0.00711056973086647","0.0252304441707936","0.0145644876827673","0.0286234604193934"
"15","milashin","0.0502617023424479","0.0688787978872062","0.0618125539467722","0.062005541972795","0.0960320279316695","0.0783709688455891"
"17","dobrotvorskij","0.110764054563785","0.0876768016722485","0.146535144839005","0.101932585948","0.0934506788748127","0.12241039568596"
"19","benevolenskij","0.0367542320659162","0.0605517637037389","0.0517134524532879","0.0560079580909689","0","0.0463929318845913"
"21","horkov","0.00944073730184924","0.0272865292077957","0.00846960125465434","0.02740377510721","0.0343375110164721","0.0325282909490179"
"23","golos_iz_tolpy","0.00960759103450963","0.0147851935492038","0.0104813102036779","0.0173065582731325","0","0.0183811298198094"
"25","odna_iz_tolpy","0.00960759103450963","0.0147851935492038","0.0104813102036779","0.0173065582731325","0","0.0183811298198094"
"27","staruha","0.00960759103450963","0.0147851935492038","0.0104813102036779","0.0173065582731325","0","0.0183811298198094"
"29","zhenschina","0.00960759103450963","0.0147851935492038","0.0104813102036779","0.0173065582731325","0","0.0183811298198094"
"31","merich","0.0158549554136044","0.048986198795959","0.0142587280113991","0.0447800726606095","0.0559653706265048","0.051458788964851"
"33","ofitsiant","0.018107830993057","0.0225982566565088","0.000595139692511159","0.0196855992824413","0","0.00740899022330043"
"35","zhenschina_v_kapote","0.018107830993057","0.0225982566565088","0.000595139692511159","0.0196855992824413","0","0.00740899022330043"
"37","kucher","0.018107830993057","0.0225982566565088","0.000595139692511159","0.0196855992824413","0","0.00740899022330043"
"39","pervyj_molodoj_chelovek","0.018107830993057","0.0225982566565088","0.000595139692511159","0.0196855992824413","0","0.00740899022330043"
"41","devushka","0.018107830993057","0.0225982566565088","0.000595139692511159","0.0196855992824413","0","0.00740899022330043"
"43","vtoroj_molodoj_chelovek","0.018107830993057","0.0225982566565088","0.000595139692511159","0.0196855992824413","0","0.00740899022330043"
"45","pasha","0.0424770524231849","0.0302936946031026","0.0156600747574462","0.0315032520302464","0","0.0220583402783041"
"47","dunja","0.0424770524231849","0.0302936946031026","0.0156600747574462","0.0315032520302464","0","0.0220583402783041"
"49","pervaja","0.012722014470421","0.0188778500524704","0.0112987012987013","0.0134646682475624","0","0.0144269272328311"
"51","vtoraja","0.012722014470421","0.0188778500524704","0.0112987012987013","0.0134646682475624","0","0.0144269272328311"
"53","pervaja_staruha","0.012722014470421","0.0188778500524704","0.0112987012987013","0.0134646682475624","0","0.0144269272328311"
"55","vtoraja_staruha","0.012722014470421","0.0188778500524704","0.0112987012987013","0.0134646682475624","0","0.0144269272328311"
