"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Egorushka","0.0243330191726656","0.0398554534542379","0.00964892377388676","0.0410569649994771","0","0.0345547750142396"
"3","Mitja","0.141089075677102","0.0926056917149533","0.0359010712180989","0.0916229575722644","0","0.0792671349914562"
"5","Arina","0.0356294135349326","0.0463029896989455","0.00971814682208523","0.0457118070554926","0","0.0345547750142396"
"7","PelagejaEgorovna","0.127982621476044","0.0889701482817726","0.110084239581498","0.0909832912137946","0","0.10689196886273"
"9","Liza","0.0543936347698734","0.0588952059233758","0.0534449301537159","0.0590473005132667","0","0.0723371938484906"
"11","Razljuljaev","0.0948270198921407","0.0814678543642358","0.144797294252098","0.0829536886671679","0","0.101623314980065"
"13","PervajaGostja","0.0249401135143666","0.0384723260480476","0.00944125462929135","0.0392956734107145","0","0.0345547750142396"
"15","VtorajaGostja","0.0102552425869795","0.0266075237309038","0.00110756877117552","0.0267873579669486","0","0"
"17","Masha","0.0543936347698734","0.0588952059233758","0.0534449301537159","0.0590473005132667","0","0.0723371938484906"
"19","LjubovGordeevna","0.125944464832051","0.0974049103053873","0.247048546371809","0.0982355890541562","0","0.163185874311752"
"21","Guslin","0.0651043520840311","0.0644968152157224","0.0631047796464353","0.0643563365879655","0","0.0569109550028479"
"23","AnnaIvanovna","0.0630420895520895","0.0652361362797658","0.0660196055459165","0.0655043212842125","0","0.0223561799886083"
"25","Devushki","0.0227871646002243","0.0410796204591913","0.00416896051175597","0.0411468268152303","0","0.0223561799886083"
"27","Starik","0.00401440508149535","0.0158321406531194","0.00413223140495868","0.0151424648028779","0","0"
"29","Vozhak","0.00401440508149535","0.0158321406531194","0.00413223140495868","0.0151424648028779","0","0"
"31","GordejKarpych","0.0727316442861331","0.0702946194498716","0.0652690101605512","0.0688337015578684","0","0.199069679134232"
"33","Korshunov","0.0584536161662787","0.062787497765689","0.103206304877391","0.060852654345687","0","0"
"35","LjubimKarpych","0.0160640829222241","0.034963720078286","0.0153299707206571","0.034279298836731","0","0"
