"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Ivan","0.0684293494637248","0.0784604005189909","0.0603006548353667","0.0792722928924158","0","0.0796925143656225"
"3","Gavrilo","0.0306968085384938","0.05525562038357","0.0287920796203276","0.0509062932801966","0","0.050036431362246"
"5","Vozhevatov","0.174773242951051","0.140118898175135","0.186773064968096","0.140617107357981","0","0.141110915162436"
"7","Knurov","0.118465045247335","0.113055994450762","0.12593664114682","0.115408265638998","0","0.116041406038588"
"9","Ogudalova","0.0965603624669511","0.0951693614249059","0.0924819639498293","0.0963330687801387","0","0.0967927270557443"
"11","Karandyshev","0.0917905506760956","0.096521338925665","0.0835719557948667","0.0971243445890835","0","0.0967620850667219"
"13","Larisa","0.105999875297639","0.102810959136218","0.103259537494604","0.103065314919656","0","0.103058912132877"
"15","Paratov","0.155515700027286","0.131173189951479","0.166177810559168","0.132310078637928","0","0.133281464315821"
"17","Robinzon","0.132322331589688","0.119531985500952","0.139412288529363","0.119908697510457","0","0.120202045281185"
"19","EvfrosinjaPotapovna","0.0133706904759198","0.0362743665149396","0.00609831383410522","0.0335919578593545","0","0.0329361233221212"
"21","Ilja","0.0120760432658156","0.0316278850173832","0.00719568926745313","0.0314625785337919","0","0.0300853758966355"
