"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","kuligin","0.0759217305030486","0.0684701128509067","0.0731887451272918","0.0743595800029772","0.0792283306848726","0.0933113385456532"
"3","kudrjash","0.0308578813359039","0.0520225095167907","0.0351320275202413","0.045916420997296","0.062276684769086","0.0573961853203628"
"5","shapkin","0.00892824512740367","0.0292360496744575","0.00578518893536235","0.0238095778930874","0.00663285212641436","0.0204545466078751"
"7","boris","0.0740560532965353","0.0809546196413349","0.0634730641206835","0.0740237990381242","0.0984496144295431","0.0874246983887141"
"9","feklusha","0.00626447912851138","0.0201721740466061","0.00586326718171769","0.0196859601792985","0.00927535494271918","0.016094340676554"
"11","glasha","0.0140223441152656","0.03016930204529","0.00696181685379285","0.028178487927317","0","0.0103809462336965"
"13","varvara","0.158186547031771","0.101448844429441","0.191107822504842","0.103184269624644","0.16226277053077","0.113747921923231"
"15","dikoj","0.00750107391658909","0.0204566249553424","0.00547999641317827","0.0217804491294879","0.0104683195592286","0.0105754168026471"
"17","pervyj_dejstvije_4a","0.00775663541890188","0.015521851251985","0.00773363725170954","0.0152658098817928","0.0121212121212121","0.0101763818376427"
"19","pervyj_dejstvije_4b","0.00621718580684826","0.0191587495685939","0.00530659926331567","0.0198295592981131","0","0.014325590117071"
"21","zhenschina_4b","0.00621718580684826","0.0191587495685939","0.00530659926331567","0.0198295592981131","0","0.014325590117071"
"23","katerina","0.13762196505789","0.103345592514851","0.182950583215325","0.0972230215190768","0.150402934486319","0.09990582816924"
"25","kabanova","0.149043943535976","0.0922154289759566","0.128917099058804","0.101011938189616","0.148128160451002","0.117302086987846"
"27","kabanov","0.179715310786459","0.106797216293203","0.146722436002628","0.112908889012875","0.163784068929137","0.132200750210978"
"29","odin_iz_naroda_5a","0.0131421796440527","0.0193935782342712","0.012264998296528","0.0200360941027069","0","0.0161724344157096"
"31","neskolko_golosov","0.0131421796440527","0.0193935782342712","0.012264998296528","0.0200360941027069","0","0.0161724344157096"
"33","odin_iz_naroda_5b","0.0131421796440527","0.0193935782342712","0.012264998296528","0.0200360941027069","0","0.0161724344157096"
"35","drugoj","0.0131421796440527","0.0193935782342712","0.012264998296528","0.0200360941027069","0","0.0161724344157096"
"37","tretij","0.0131421796440527","0.0193935782342712","0.012264998296528","0.0200360941027069","0","0.0161724344157096"
"39","zhenschina_4c","0.00703783873370855","0.0172519884842414","0.00796954576308172","0.0174295118259775","0","0.0171246653044053"
"41","pervyj_dejstvije_4c","0.00703783873370855","0.0172519884842414","0.00796954576308172","0.0174295118259775","0","0.0171246653044053"
"43","vtoroj_dejstvije_4b","0.00703783873370855","0.0172519884842414","0.00796954576308172","0.0174295118259775","0","0.0171246653044053"
"45","barynja","0.00139573356990807","0.0136258524386049","0.00177749532979441","0.0129307422295496","0","0.0104453906510307"
"47","pervyj_dejstvije_5","0.00960488684596135","0.0151237153416489","0.00925295010375693","0.0143946046661744","0.0181818181818182","0.0108297551890912"
"49","vtoroj_dejstvije_5","0.00960488684596135","0.0151237153416489","0.00925295010375693","0.0143946046661744","0.0181818181818182","0.0108297551890912"
"51","odin_iz_vozvrativshihsja","0.00960488684596135","0.0151237153416489","0.00925295010375693","0.0143946046661744","0.0181818181818182","0.0108297551890912"
"53","drugoj_iz_vozvrativshihsja","0.00960488684596135","0.0151237153416489","0.00925295010375693","0.0143946046661744","0.0181818181818182","0.0108297551890912"
"55","vtoroj_dejstvije_4a","0.00552486187845304","0.0090138021186836","0.00602409638554217","0.0100072555612334","0.0121212121212121","0.00818889933112914"
"57","zhenschina_4a","0.00552486187845304","0.0090138021186836","0.00602409638554217","0.0100072555612334","0.0121212121212121","0.00818889933112914"
