"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","aksjusha","0.0625920869455556","0.073351682372515","0.0528055647922501","0.0754079057806363","0.0769230769230769","0.0745101076904919"
"3","karp","0.15680944061744","0.124339396739739","0.172355316829875","0.127736289296853","0.328618848318661","0.129701381200064"
"5","bulanov","0.149780878121267","0.127637704155987","0.16741315715381","0.1227542413728","0.187328618848319","0.123550434233582"
"7","ulita","0.0179883336436556","0.0534233681832883","0.0128699686815965","0.0457568298107203","0","0.0437495779268255"
"9","gurmyzhskaja","0.189088062046256","0.136578768744293","0.217164203053444","0.14680241499716","0.187328618848319","0.14909997084235"
"11","petr","0.0601594213997018","0.0714506512307088","0.0525201064951352","0.0703892684489181","0.0769230769230769","0.0692094516457466"
"13","malchik","0.00130445724611636","0.0153726516545513","0.000848256804126011","0.0122638269076472","0","0.0108808404867428"
"15","neschastlivtsev","0.127399232909845","0.11004160276223","0.121240248475796","0.118168444269541","0","0.119236917728724"
"17","schastlivtsev","0.0758114599763735","0.0889489239323972","0.063871567392939","0.0815164323136674","0.142877760138548","0.0798708514318319"
"19","milonov","0.0463206902612037","0.0591206408647976","0.039984252538422","0.0601742636338776","0","0.0607992033505349"
"21","vosmibratov","0.0664252465713814","0.0806139684946951","0.0589431052441848","0.0788558195343022","0","0.0785920601125711"
"23","bodaev","0.0463206902612037","0.0591206408647976","0.039984252538422","0.0601742636338776","0","0.0607992033505349"
