"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","bessudnyj","0.223614321253139","0.155832360197145","0.231971401556917","0.168624837426003","0.214343491556562","0.170878790653262"
"3","razzorennyj","0.0167306960506489","0.05145039510997","0.014493725697571","0.0448516103746394","0.00755715095409031","0.0416577923833424"
"5","evgeniya","0.191960282788987","0.146766652092933","0.194578261310696","0.154252113985496","0.224314302423558","0.156784784840494"
"7","annushka","0.150174708036518","0.127969490181167","0.153131324516567","0.134721708915443","0.20629708561135","0.136444815664479"
"9","zhuk","0.101140417147603","0.114642816537282","0.103193171109612","0.105375096558146","0.131238142317655","0.105212762412594"
"11","milovidov","0.139806303221475","0.12643272160158","0.14327873172194","0.124655504472199","0.136844269298051","0.125062123115465"
"13","pyzhikov","0.0283403749328962","0.0497575478559632","0.0206836964395913","0.0514121889662266","0.0119807210730335","0.0515603008225297"
"15","neputevyj","0.0627751650514631","0.0759973336029041","0.0583699453107972","0.0744848045023924","0.0321558772342827","0.0748139017477349"
"17","senya","0.0674273345138843","0.0794109858323295","0.0656600451592138","0.0791357369972472","0.0289724891363015","0.078128795772906"
"19","ivan","0.00900938842275058","0.0378259960269832","0.0075722665083102","0.0339009914303392","0.00386779184247539","0.0318674333401875"
"21","grishka","0.00902100858063457","0.033913700961743","0.00706743066878361","0.0285854063718682","0.00242867855264189","0.0275884992470063"
