"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","glumov","0.162186985918805","0.106130869308938","0.168279664608555","0.116267233028537","0.241750137476295","0.117858235939686"
"3","glumova","0.0317370495359199","0.0579121806259811","0.0446766242495216","0.0529152363072182","0.0212652844231792","0.0502366826994799"
"5","kurchaev","0.0671608229384527","0.0771737927194965","0.0610009499085234","0.0766437766233652","0.0263157894736842","0.0809910123899732"
"7","golutvin","0.00262014574864305","0.0253338409598832","0.000667853962600178","0.0207472138456652","0","0.00851921809268522"
"9","chelovek_mamaeva","0.00911129795345711","0.0339239418579711","0.00938307583549478","0.0281645677538142","0.0136705399863295","0.0259502159790997"
"11","mamaev","0.082920959776944","0.0819468431971539","0.0910606628946745","0.0851353770279036","0.142730856620845","0.0975525551608548"
"13","manefa","0.00827521007834308","0.0286776449748254","0.00770638852112899","0.027408465068811","0.0289520267359602","0.024832637810787"
"15","mamaeva","0.138442377043168","0.0991688814641641","0.135152261250258","0.102758852997321","0.180780614100757","0.102248616372184"
"17","gorodulin","0.0322882831544856","0.0522534080223669","0.0308772294775357","0.0514389518382174","0","0.0506394212767151"
"19","chelovek_krutickogo","0.00215212884355331","0.0182860287145787","0.00111282441541483","0.0158162912390463","0","0.0124481578223989"
"21","krutickij","0.0593746100698163","0.0717050687069133","0.0542671074654941","0.0693346229247654","0.0175438596491228","0.0647084108075412"
"23","turusina","0.153649001586497","0.103848407703977","0.146237932434962","0.110531102752123","0.146108185443366","0.111804442299718"
"25","grigorij","0.0948201586371419","0.0801073802751419","0.0941193247143151","0.0780771045327091","0.0566016931667901","0.0846382317407642"
"27","mashenka","0.112393058606766","0.0881901795593689","0.11794939137991","0.0914647998094462","0.0566016931667901","0.0946583814135774"
"29","pervaja_prizhivalka","0.0265627065284387","0.0429144824633309","0.0238891676536332","0.0426687607553283","0.037989711119905","0.0427554796204336"
"31","vtoraja_prizhivalka","0.0163052035795683","0.032427049445909","0.0136195412279781","0.0306276434957289","0.0296896086369771","0.0301583005741007"
