"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","pervyj_kupec","0.00662251655629139","0.00353212511272625","0.00662251655629139","0.00612373377254066","0.0202020202020202","0.00661916226597543"
"3","zhena","0.00662251655629139","0.00353212511272625","0.00662251655629139","0.00612373377254066","0.0202020202020202","0.00661916226597543"
"5","vtoroj_kupec","0.00662251655629139","0.00353212511272625","0.00662251655629139","0.00612373377254066","0.0202020202020202","0.00661916226597543"
"7","pogulyaev","0.116027555441442","0.0974214769930931","0.128608628993903","0.104290463144424","0.137775921253041","0.119252806643118"
"9","pervyj_student","0.0188057854780541","0.0318281170060404","0.018329248579027","0.0309333460222712","0.053030303030303","0.0217880757921691"
"11","vtoroj_student","0.0188057854780541","0.0318281170060404","0.018329248579027","0.0309333460222712","0.053030303030303","0.0217880757921691"
"13","studenty","0.0188057854780541","0.0318281170060404","0.018329248579027","0.0309333460222712","0.053030303030303","0.0217880757921691"
"15","kiselnikov","0.267010828167016","0.143359554615843","0.219297555561082","0.152526748848042","0.240558752584461","0.197524474181173"
"17","tretij_student","0.0084107045048449","0.0195371148128449","0.00563174636283047","0.0199082442550783","0.0227272727272727","0.0132383245319509"
"19","pereyarkov","0.0685759248248986","0.0743274376501314","0.0657798347538942","0.0749161587668128","0.0506812309137891","0.0813922456308496"
"21","prohodyashchij","0.00772915014619958","0.0236600776828609","0.00532097817221347","0.0238952665747214","0","0.0240791343035453"
"23","borovcova","0.0659289915627635","0.0720609907027988","0.0644141599610204","0.0733583339274134","0.0157496529230851","0.0797650349071306"
"25","borovcov","0.123112915082883","0.101982108964435","0.157280885648313","0.104157121353548","0.0940993379138584","0.105734701567082"
"27","turuntaev","0.0397630859470586","0.0584315606082232","0.0282506160877051","0.0582679070071536","0","0.0583274280899316"
"29","glafira","0.111492886082252","0.0977032538030193","0.11113375558399","0.0982444209728969","0.0859577917381893","0.100288936248257"
"31","liza","0.0353701792164693","0.0666591854294487","0.0399126411704581","0.056257907428603","0.0599553253585656","0.0412837062037413"
"33","anna_ustinovna","0.0707912330081357","0.0835078331516223","0.0944735083030023","0.0748950160679611","0.0650048875855327","0.0575892558438679"
"35","aksinya","0.00785014251322861","0.0313567369433098","0.00459620081197952","0.0287731926745348","0.00469208211143695","0.0283590839476312"
"37","neizvestnyj","0.00165149739977087","0.0239119422860695","0.000444193183653691","0.0193379795943749","0.00310077519379845","0.00794315372728811"
