"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","leshij","0.00710456968418042","0.015955606788464","0.021871859714079","0.00995850235305318","0.08976714248359","0.0227219201864759"
"3","vesna_krasna","0.0117932319827002","0.0205294734298692","0.028963023948361","0.0124481279413165","0.117562777085819","0.0275427956082555"
"5","hor_ptits","0.00147378988589653","0.00816753974755798","0.00285096735812349","0.0052904543750595","0.0127580178847576","0.0118513187452082"
"7","snegurochka","0.176584954780649","0.0849879057166285","0.110035433775997","0.118190099218704","0.178403759472324","0.120979482008322"
"9","moroz","0.00556601061122951","0.0147301984340009","0.0165216146293919","0.00871368955892153","0.0758224229511009","0.0205596157693542"
"11","golosa_leshih","0.0028247730731503","0.00855899580284102","0.00749776961645031","0.00653526716919115","0.0313255836351379","0.0148348262059909"
"13","mizgir","0.109011194484362","0.0604398828974745","0.0818288612258298","0.074134202163093","0.0116016757976152","0.0656736859207182"
"15","perviy_hor_berendeev","0.00820132714772523","0.012738699039828","0.0212765957446809","0.0162686349659219","0","0.0248133293768068"
"17","vtoroj_hor_berendeev","0.00820132714772523","0.012738699039828","0.0212765957446809","0.0162686349659219","0","0.0248133293768068"
"19","chuchelo_masljanitsy","0.00820132714772523","0.012738699039828","0.0212765957446809","0.0162686349659219","0","0.0248133293768068"
"21","bobyliha","0.0492117982337389","0.0450106114105525","0.0315032283225723","0.047418528300451","0.0172413793103448","0.0447842999297761"
"23","bobyl","0.0404840314902561","0.0395889450448825","0.035446548511505","0.0411873002234327","0.0344827586206897","0.0429270598218757"
"25","berendei","0.00820132714772523","0.012738699039828","0.0212765957446809","0.0162686349659219","0","0.0248133293768068"
"27","odin_berendej","0.00820132714772523","0.012738699039828","0.0212765957446809","0.0162686349659219","0","0.0248133293768068"
"29","golosa_iz_lesu","0.00820132714772523","0.012738699039828","0.0212765957446809","0.0162686349659219","0","0.0248133293768068"
"31","birjuch","0.000481515535541511","0.00808472149368517","0","0.00667320301115716","0","0"
"33","lel","0.125849601735858","0.0639033369485025","0.0388676517744941","0.0593103782285491","0.0172413793103448","0.0512282463770257"
"35","malusha","0.0463031582829042","0.0417531378076615","0.0349734042553191","0.0465617020954845","0","0.0307459708550797"
"37","radushka","0.0463031582829042","0.0417531378076615","0.0349734042553191","0.0465617020954845","0","0.0307459708550797"
"39","brusilo","0.0463031582829042","0.0417531378076615","0.0349734042553191","0.0465617020954845","0","0.0307459708550797"
"41","kurilka","0.0212256845431812","0.0320976656050736","0","0.0321933654290166","0","0.00552660517937969"
"43","kupava","0.06559423130404","0.0510315783560964","0.053111488647979","0.054755995284737","0.0579937304075235","0.0504105343861991"
"45","malysh","0.0118222724392708","0.023249072210314","0.00425531914893617","0.0233273796076067","0","0.0101734650444908"
"47","tsar","0.0578905173558985","0.050038232725865","0.108123868685144","0.0648726790693317","0.117554858934169","0.0722030288911476"
"49","bermjata","0.0258668578492865","0.0278005255515018","0.0421642052565707","0.0226379564777633","0.0172413793103448","0.0274807622848135"
"51","elena_prekrasnaja","0.0148688844147981","0.0264714834227659","0.0412726957576808","0.0252844259682142","0","0"
"53","narod","0.0103866949190022","0.0232879071364334","0.0268152012826624","0.0176182806238106","0","0.0157564641542723"
"55","devushki_i_parni","0.00266054556856278","0.0159118009918014","0","0.0130020600994685","0","0.00557923951442141"
"57","murash","0.0270480853065531","0.0373785498157145","0.0144819517268276","0.046253438186066","0.0172413793103448","0.0294545498488777"
"59","odna_storona","0.00493996393288376","0.0123137783739232","0.0127659574468085","0.00544605597432596","0","0.0156323975073883"
"61","drugaja_storona","0.00493996393288376","0.0123137783739232","0.0127659574468085","0.00544605597432596","0","0.0156323975073883"
"63","golosa_iz_naroda","0.00493996393288376","0.0123137783739232","0.0127659574468085","0.00544605597432596","0","0.0156323975073883"
"65","obschij_hor","0.00493996393288376","0.0123137783739232","0.0127659574468085","0.00544605597432596","0","0.0156323975073883"
"67","berendej","0.000419896083493833","0.00920125890669599","0","0.00483139800705215","0","0"
"69","vse_1-8","0.00281941571105031","0.013730787158166","0","0.00973699606170394","0","0.00554916275154043"
"71","hor_naroda","0.00255672462348853","0.0129278377051481","0.00124799584001387","0.00778880201293593","0","0"
"73","perviy_birjuch","0.00285089794849841","0.00972152116550593","0.00725907384230288","0.00553252185278544","0.0329153605015674","0.00942906516318658"
"75","vtoroj_birjuch","0.00285089794849841","0.00972152116550593","0.00725907384230288","0.00553252185278544","0.0329153605015674","0.00942906516318658"
"77","otrok","0.00370131709361051","0.0139367676063031","0.00944663517788274","0.00835519098851724","0.0344827586206897","0.00992533175072271"
"79","gusljary","0.00305810397553517","0.00752985053500151","0.00851063829787234","0.00311203198532912","0.0344827586206897","0.00744399881304204"
"81","perviy_skomoroh","0.00305810397553517","0.00752985053500151","0.00851063829787234","0.00311203198532912","0.0344827586206897","0.00744399881304204"
"83","vtoroj_skomoroh","0.00305810397553517","0.00752985053500151","0.00851063829787234","0.00311203198532912","0.0344827586206897","0.00744399881304204"
