"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","pavlin","0.0854227152539696","0.0790894118764998","0.086041239817253","0.0824606626574688","0.0962955962955963","0.0922850504334595"
"3","stoljar","0.0287557432466156","0.0310412168724088","0.0265589254751441","0.0312273366592182","0.055","0.0269697105525159"
"5","maljar","0.0287557432466156","0.0310412168724088","0.0265589254751441","0.0312273366592182","0.055","0.0269697105525159"
"7","starosta","0.0287557432466156","0.0310412168724088","0.0265589254751441","0.0312273366592182","0.055","0.0269697105525159"
"9","podrjadchik","0.0287557432466156","0.0310412168724088","0.0265589254751441","0.0312273366592182","0.055","0.0269697105525159"
"11","pervyj_krestjanin","0.010036963320223","0.0173173539240606","0.0100898949091949","0.0174409095510901","0","0.0142174137131917"
"13","vtoroj_krestjanin","0.010036963320223","0.0173173539240606","0.0100898949091949","0.0174409095510901","0","0.0142174137131917"
"15","chugunov","0.068891701640207","0.0730025351655029","0.071106220785418","0.071549011142735","0.0247007210643574","0.064232168657075"
"17","murzavetskij","0.0567508646059303","0.0692882373706639","0.0581107906446363","0.0655677456262461","0.0257233336741533","0.0618843718312851"
"19","vlas","0.000894658209398702","0.0142708191332893","0.000569003240779228","0.0110895797281641","0","0.00625469417451221"
"21","glafira","0.0673488980233124","0.074646893143729","0.0688226446626137","0.0718917549909366","0.0961601368978418","0.0740676697534068"
"23","murzavetskaja","0.135044718109271","0.109247445352224","0.148393770805772","0.112445834979234","0.106871901812289","0.105396217864772"
"25","lynjaev","0.106535679900243","0.0881364324473661","0.103087621656065","0.0871261866035922","0.0722898776997138","0.0945299967357543"
"27","anfusa","0.0994086199483897","0.0992167576031866","0.106632236810287","0.0956888734967923","0.101162752071843","0.101081224682534"
"29","berkutov","0.0679942099161155","0.0736336430709357","0.0564676152190476","0.0731968853781704","0.043381204118909","0.0807188029654906"
"31","kupavina","0.166917748565029","0.112743127731501","0.165571225979004","0.125489747509901","0.209644552595372","0.138745303508203"
"33","goretskij","0.00226039442714416","0.0167587174954528","0.00147068076297777","0.0156787146551731","0.000942480942480943","0.0154184851697064"
"35","lakej","0.00743289177408154","0.0311664042718929","0.00731145789717918","0.0280238374925343","0.00282744282744283","0.0290723445873543"
